symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CRV/EUR,0.433,0.433,0.431,0.431,2,10109.55261869,0.432,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
CRV/EUR,0.433,0.433,0.433,0.433,1,7809.55261869,0.433,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
CRV/EUR,0.442,0.443,0.435,0.435,15,26076.02052744,0.438,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.436,0.437,14,26015.95455043,0.438,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.436,0.436,12,23492.15432712,0.438,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.438,0.438,10,14292.15232712,0.44,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.438,0.438,9,11992.15232712,0.441,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.44,0.44,8,9692.15232712,0.442,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.441,0.442,7,7392.15232712,0.442,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.441,0.441,6,7170.71560897,0.442,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.442,0.442,5,6948.79109166,0.442,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.442,0.443,3,4427.83716934,0.442,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.443,0.442,0.443,2,4045.48872657,0.442,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.442,0.442,0.442,0.442,1,221.39694857,0.442,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CRV/EUR,0.445,0.446,0.443,0.446,18,4723.31684025,0.443,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CRV/EUR,0.445,0.446,0.443,0.445,17,4504.19786051,0.443,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CRV/EUR,0.445,0.446,0.443,0.445,16,4492.76742639,0.443,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CRV/EUR,0.445,0.446,0.443,0.445,15,4476.94070171,0.443,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CRV/EUR,0.445,0.446,0.443,0.445,14,4452.75718443,0.443,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
