symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CSM/EUR,0.004664,0.004664,0.004664,0.004664,1,1941.068,0.004664,2025-01-30T23:57:00.000000000Z,1,2025-01-30T23:58:00.000000Z
CSM/EUR,0.004664,0.004756,0.004664,0.004756,3,48703.46,0.004751,2025-01-31T11:30:00.000000000Z,1,2025-01-31T11:31:00.000000Z
CSM/EUR,0.004519,0.004519,0.004512,0.004512,4,45252.90522739,0.004517,2025-01-31T14:59:00.000000000Z,1,2025-01-31T15:00:00.000000Z
CSM/EUR,0.004669,0.004669,0.004669,0.004669,1,4427.717512,0.004669,2025-01-31T21:59:00.000000000Z,1,2025-01-31T22:00:00.000000Z
CSM/EUR,0.004736,0.004737,0.004736,0.004737,2,30532.11066522,0.004736,2025-01-31T23:10:00.000000000Z,1,2025-01-31T23:11:00.000000Z
CSM/EUR,0.00491,0.00491,0.004513,0.00491,5,13309.07605,0.004622,2025-02-01T00:06:00.000000000Z,1,2025-02-01T00:07:00.000000Z
CSM/EUR,0.004512,0.004512,0.004512,0.004512,1,2000.0,0.004512,2025-02-01T02:21:00.000000000Z,1,2025-02-01T02:22:00.000000Z
CSM/EUR,0.004514,0.004514,0.004512,0.004512,2,2951.075,0.004512,2025-02-01T11:24:00.000000000Z,1,2025-02-01T11:25:00.000000Z
CSM/EUR,0.004512,0.004512,0.004461,0.004461,2,13656.78655766,0.004503,2025-02-01T12:22:00.000000000Z,1,2025-02-01T12:23:00.000000Z
CSM/EUR,0.004435,0.004435,0.004435,0.004435,1,2674.152,0.004435,2025-02-01T13:07:00.000000000Z,1,2025-02-01T13:08:00.000000Z
