symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CSM/USD,0.004618,0.004618,0.004618,0.004618,1,834.721,0.004618,2025-01-31T22:07:00.000000000Z,1,2025-01-31T22:08:00.000000Z
CSM/USD,0.005008,0.005008,0.005008,0.005008,1,29940.019,0.005008,2025-01-31T23:10:00.000000000Z,1,2025-01-31T23:11:00.000000Z
CSM/USD,0.004614,0.004614,0.004614,0.004614,1,10043.244,0.004614,2025-01-31T23:13:00.000000000Z,1,2025-01-31T23:14:00.000000Z
CSM/USD,0.004672,0.004672,0.004672,0.004672,1,1992.131,0.004672,2025-01-31T23:41:00.000000000Z,1,2025-01-31T23:42:00.000000Z
CSM/USD,0.005012,0.005012,0.004688,0.005012,4,8223.37419961,0.004834,2025-02-01T00:06:00.000000000Z,1,2025-02-01T00:07:00.000000Z
CSM/USD,0.0046,0.0046,0.0046,0.0046,1,2951.075,0.0046,2025-02-01T11:24:00.000000000Z,1,2025-02-01T11:25:00.000000Z
CSM/USD,0.004612,0.004612,0.004599,0.004599,3,37110.95,0.004605,2025-02-01T12:22:00.000000000Z,1,2025-02-01T12:23:00.000000Z
CSM/USD,0.004599,0.004599,0.004599,0.004599,1,2410.131,0.004599,2025-02-01T15:52:00.000000000Z,1,2025-02-01T15:53:00.000000Z
CSM/USD,0.004599,0.004599,0.004599,0.004599,1,957.670944,0.004599,2025-02-01T19:56:00.000000000Z,1,2025-02-01T19:57:00.000000Z
CSM/USD,0.004818,0.004818,0.004818,0.004818,1,4033.92801708,0.004818,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
