symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CVC/EUR,0.0934,0.0934,0.0933,0.0933,2,4313.92326354,0.0933,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
CVC/EUR,0.094,0.0953,0.094,0.0953,2,226.12412087,0.0946,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CVC/EUR,0.094,0.094,0.094,0.094,1,114.46409989,0.094,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CVC/EUR,0.0966,0.0966,0.0966,0.0966,1,1114.14802939,0.0966,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
CVC/EUR,0.0975,0.0979,0.0939,0.0979,8,1281.99459069,0.0972,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
CVC/EUR,0.0975,0.0979,0.0939,0.0979,7,1256.7649183,0.0971,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
CVC/EUR,0.0975,0.0979,0.0939,0.0979,6,1229.8143829,0.0971,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
CVC/EUR,0.0975,0.0979,0.0939,0.0979,5,1202.29415809,0.0971,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
CVC/EUR,0.0975,0.0975,0.0939,0.0975,4,1174.1336545,0.0971,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
CVC/EUR,0.0975,0.0975,0.0939,0.0975,3,878.33614838,0.097,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
CVC/EUR,0.0975,0.0975,0.0939,0.0939,2,709.8140971,0.0969,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
CVC/EUR,0.0975,0.0975,0.0975,0.0975,1,592.79282051,0.0975,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
CVC/EUR,0.0946,0.0946,0.0946,0.0946,3,14794.85350454,0.0946,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CVC/EUR,0.0946,0.0946,0.0946,0.0946,2,10400.85959523,0.0946,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CVC/EUR,0.1023,0.1023,0.1023,0.1023,1,105.11045943,0.1023,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
CVC/EUR,0.1004,0.1004,0.1,0.1,4,1612.65072983,0.1,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
CVC/EUR,0.1052,0.1052,0.1052,0.1052,1,672.643336,0.1052,2025-02-03T01:02:00.000000000Z,1,2025-02-03T01:03:00.000000Z
CVC/EUR,0.1063,0.1063,0.1063,0.1063,1,188.71213546,0.1063,2025-02-03T00:51:00.000000000Z,1,2025-02-03T00:52:00.000000Z
CVC/EUR,0.1052,0.1052,0.1052,0.1052,1,379.88444164,0.1052,2025-02-03T00:50:00.000000000Z,1,2025-02-03T00:51:00.000000Z
CVC/EUR,0.1058,0.1058,0.1052,0.1052,3,883.0938479,0.1052,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
CVC/EUR,0.108,0.108,0.108,0.108,1,42.20534134,0.108,2025-02-03T00:31:00.000000000Z,1,2025-02-03T00:32:00.000000Z
CVC/EUR,0.1109,0.1109,0.1109,0.1109,1,37.23830028,0.1109,2025-02-02T22:47:00.000000000Z,1,2025-02-02T22:48:00.000000Z
CVC/EUR,0.1109,0.1109,0.1109,0.1109,1,96.73669972,0.1109,2025-02-02T22:44:00.000000000Z,1,2025-02-02T22:45:00.000000Z
CVC/EUR,0.1054,0.1054,0.1054,0.1054,1,86.7021811,0.1054,2025-02-02T22:42:00.000000000Z,1,2025-02-02T22:43:00.000000Z
