symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CVC/USD,0.0939,0.0939,0.0939,0.0939,2,18551.93584892,0.0939,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
CVC/USD,0.0939,0.0939,0.0939,0.0939,1,9572.53506184,0.0939,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
CVC/USD,0.0958,0.0979,0.0958,0.0979,2,225.68755792,0.0968,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CVC/USD,0.0958,0.0958,0.0958,0.0958,1,114.46409989,0.0958,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CVC/USD,0.0965,0.0994,0.0965,0.0994,2,224.43887678,0.0979,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CVC/USD,0.0965,0.0965,0.0965,0.0965,1,114.10788381,0.0965,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CVC/USD,0.0997,0.0997,0.0997,0.0997,1,110.33099297,0.0997,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
CVC/USD,0.0978,0.0978,0.0975,0.0975,3,224.94887524,0.0976,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CVC/USD,0.0978,0.0978,0.0978,0.0978,1,112.47443762,0.0978,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CVC/USD,0.0983,0.1008,0.0982,0.1008,10,3647.65532691,0.0983,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.0983,0.0983,0.0982,0.0982,9,3538.31139053,0.0982,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.0983,0.0983,0.0983,0.0983,7,2076.03258654,0.0983,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.0983,0.0983,0.0983,0.0983,6,1957.03258654,0.0983,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.0983,0.0983,0.0983,0.0983,5,1583.03258654,0.0983,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.0983,0.0983,0.0983,0.0983,4,721.03258654,0.0983,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.0983,0.0983,0.0983,0.0983,3,609.01629327,0.0983,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.0983,0.0983,0.0983,0.0983,2,497.0,0.0983,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.0983,0.0983,0.0983,0.0983,1,229.0,0.0983,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CVC/USD,0.101,0.101,0.0991,0.0991,2,1080.50408042,0.0992,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
