symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CXT/EUR,0.05644,0.05645,0.05644,0.05645,2,1745.444,0.05644,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CXT/EUR,0.05657,0.05657,0.05657,0.05657,2,1325.79105,0.05657,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CXT/EUR,0.05657,0.05657,0.05657,0.05657,1,1200.20946,0.05657,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CXT/EUR,0.05751,0.05751,0.05751,0.05751,1,1513.31,0.05751,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
CXT/EUR,0.05884,0.05996,0.05884,0.05996,2,1673.877,0.05885,2025-02-03T01:38:00.000000000Z,1,2025-02-03T01:39:00.000000Z
CXT/EUR,0.05906,0.05906,0.059,0.059,3,1663.21186,0.05905,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
CXT/EUR,0.05972,0.06048,0.05972,0.06048,5,8192.0,0.06025,2025-02-03T01:15:00.000000000Z,1,2025-02-03T01:16:00.000000Z
CXT/EUR,0.06002,0.0605,0.06002,0.0605,3,8155.056,0.0604,2025-02-03T00:16:00.000000000Z,1,2025-02-03T00:17:00.000000Z
CXT/EUR,0.06002,0.06151,0.06,0.06151,6,4733.34432,0.06022,2025-02-03T00:06:00.000000000Z,1,2025-02-03T00:07:00.000000Z
CXT/EUR,0.06229,0.06229,0.06229,0.06229,1,626.77155,0.06229,2025-02-02T23:38:00.000000000Z,1,2025-02-02T23:39:00.000000Z
CXT/EUR,0.06226,0.06226,0.06226,0.06226,1,626.78605,0.06226,2025-02-02T23:36:00.000000000Z,1,2025-02-02T23:37:00.000000Z
CXT/EUR,0.06291,0.06291,0.06291,0.06291,1,866.80547,0.06291,2025-02-02T23:00:00.000000000Z,1,2025-02-02T23:01:00.000000Z
CXT/EUR,0.06292,0.06292,0.06291,0.06291,3,1243.00619,0.06291,2025-02-02T22:47:00.000000000Z,1,2025-02-02T22:48:00.000000Z
CXT/EUR,0.0632,0.0632,0.0632,0.0632,1,930.36999,0.0632,2025-02-02T22:44:00.000000000Z,1,2025-02-02T22:45:00.000000Z
