symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CXT/USD,0.05802,0.05802,0.0574,0.0574,2,1289.8318,0.05781,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
CXT/USD,0.05802,0.05802,0.05802,0.05802,1,861.7718,0.05802,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
CXT/USD,0.05774,0.05774,0.05774,0.05774,1,886.51999,0.05774,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CXT/USD,0.05885,0.05913,0.05885,0.05913,3,5237.93003,0.05904,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
CXT/USD,0.06,0.06002,0.05966,0.06002,7,1047.66666,0.05977,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
CXT/USD,0.06011,0.06011,0.06011,0.06011,1,278.93054,0.06011,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
CXT/USD,0.0606,0.0606,0.06011,0.06011,9,7910.06509,0.06058,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
CXT/USD,0.06061,0.06061,0.0606,0.0606,5,2827.89436,0.0606,2025-02-03T01:33:00.000000000Z,1,2025-02-03T01:34:00.000000Z
CXT/USD,0.06091,0.06091,0.0609,0.0609,2,1261.833,0.0609,2025-02-03T01:23:00.000000000Z,1,2025-02-03T01:24:00.000000Z
CXT/USD,0.06114,0.06131,0.06114,0.06131,2,1835.07147,0.06117,2025-02-03T01:15:00.000000000Z,1,2025-02-03T01:16:00.000000Z
CXT/USD,0.06066,0.06066,0.06061,0.06061,4,10156.62947,0.06061,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
CXT/USD,0.06126,0.06126,0.06126,0.06126,1,945.314,0.06126,2025-02-03T00:45:00.000000000Z,1,2025-02-03T00:46:00.000000Z
CXT/USD,0.06162,0.06162,0.06162,0.06162,1,1571.62446,0.06162,2025-02-03T00:16:00.000000000Z,1,2025-02-03T00:17:00.000000Z
CXT/USD,0.0619,0.0619,0.06161,0.06176,4,2317.40106,0.06172,2025-02-03T00:06:00.000000000Z,1,2025-02-03T00:07:00.000000Z
