symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DAI/EUR,0.98014,0.98014,0.98014,0.98014,1,6.47383099,0.98014,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DAI/EUR,0.9768,0.9768,0.9768,0.9768,2,27.79181405,0.9768,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
DAI/EUR,0.9768,0.9768,0.9768,0.9768,1,11.14384219,0.9768,2025-02-03T01:34:00.000000000Z,1,2025-02-03T01:35:00.000000Z
DAI/EUR,0.9795,0.9795,0.9795,0.9795,1,6.75143368,0.9795,2025-02-03T00:53:00.000000000Z,1,2025-02-03T00:54:00.000000Z
DAI/EUR,0.9775,0.9775,0.97696,0.97696,2,15.54250369,0.97749,2025-02-03T00:30:00.000000000Z,1,2025-02-03T00:31:00.000000Z
DAI/EUR,0.97974,0.97974,0.97971,0.97974,8,6968.11159917,0.97972,2025-02-03T00:23:00.000000000Z,1,2025-02-03T00:24:00.000000Z
DAI/EUR,0.9788,0.9788,0.9788,0.9788,2,15.3249,0.9788,2025-02-03T00:22:00.000000000Z,1,2025-02-03T00:23:00.000000Z
DAI/EUR,0.9757,0.97581,0.97567,0.9758,12,1289.77009292,0.97572,2025-02-03T00:15:00.000000000Z,1,2025-02-03T00:16:00.000000Z
DAI/EUR,0.97553,0.97553,0.97552,0.97552,2,89.99152006,0.97552,2025-02-03T00:11:00.000000000Z,1,2025-02-03T00:12:00.000000Z
DAI/EUR,0.9762,0.9762,0.9762,0.9762,1,5.19989184,0.9762,2025-02-03T00:05:00.000000000Z,1,2025-02-03T00:06:00.000000Z
DAI/EUR,0.9768,0.9768,0.97634,0.97634,8,1340.61938345,0.97646,2025-02-02T23:53:00.000000000Z,1,2025-02-02T23:54:00.000000Z
