symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DAI/USD,0.99995,0.99995,0.99995,0.99995,1,51.9071233,0.99995,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DAI/USD,1.00124,1.00124,1.00121,1.00121,6,38.95717838,1.00122,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DAI/USD,1.00124,1.00124,1.00121,1.00121,5,32.44513184,1.00122,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DAI/USD,1.00124,1.00124,1.00123,1.00123,4,25.94482904,1.00123,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DAI/USD,1.00124,1.00124,1.00123,1.00123,3,19.45783805,1.00123,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DAI/USD,1.00124,1.00124,1.00124,1.00124,2,12.96925796,1.00124,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DAI/USD,1.00124,1.00124,1.00124,1.00124,1,6.4768784,1.00124,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DAI/USD,1.00117,1.00117,1.00117,1.00117,1,88.19793771,1.00117,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
DAI/USD,1.00127,1.00127,1.00052,1.00059,8,338.84696727,1.00074,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
DAI/USD,1.00127,1.00127,1.00052,1.00124,6,322.40962451,1.00074,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
DAI/USD,1.00127,1.00127,1.00052,1.00124,5,264.03901457,1.00064,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
DAI/USD,1.00127,1.00127,1.00052,1.00052,4,225.65561,1.00053,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
DAI/USD,1.00127,1.00127,1.00052,1.00052,3,152.36061,1.00054,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
DAI/USD,1.00127,1.00127,1.00052,1.00052,2,79.06561,1.00057,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
DAI/USD,1.00127,1.00127,1.00127,1.00127,1,5.77061,1.00127,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
DAI/USD,1.0012,1.0012,1.0012,1.0012,2,249.70035957,1.0012,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
DAI/USD,1.00002,1.00095,1.00002,1.00095,4,1083.8997088,1.00089,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
DAI/USD,1.00002,1.00002,1.00002,1.00002,3,66.899,1.00002,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
DAI/USD,1.00002,1.00002,1.00002,1.00002,2,44.854,1.00002,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
DAI/USD,1.00002,1.00002,1.00002,1.00002,1,22.427,1.00002,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
DAI/USD,0.99987,1.00127,0.99987,1.0011,3,219.06044062,1.00085,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
DAI/USD,0.99987,1.00127,0.99987,1.00127,2,54.91679863,1.00013,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
DAI/USD,0.99987,0.99987,0.99987,0.99987,1,44.35580863,0.99987,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
DAI/USD,1.00121,1.00121,1.00121,1.00121,1,105.9847276,1.00121,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
DAI/USD,1.00032,1.00032,1.00032,1.00032,1,199.73634802,1.00032,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
DAI/USD,0.99986,0.99986,0.99986,0.99986,1,111.92633,0.99986,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
DAI/USD,1.00157,1.00157,1.00157,1.00157,1,15.70608,1.00157,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
DAI/USD,1.00009,1.00009,1.00008,1.00008,2,301.16377776,1.00008,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
DAI/USD,1.00102,1.00102,1.0,1.0,2,103.64926176,1.00082,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
DAI/USD,0.99995,0.99995,0.99987,0.99987,2,14.8000866,0.9999,2025-02-03T01:36:00.000000000Z,1,2025-02-03T01:37:00.000000Z
DAI/USD,1.002,1.00201,1.002,1.00201,2,499.01729005,1.002,2025-02-03T01:27:00.000000000Z,1,2025-02-03T01:28:00.000000Z
DAI/USD,0.99986,0.99986,0.99986,0.99986,1,19.54622,0.99986,2025-02-03T00:55:00.000000000Z,1,2025-02-03T00:56:00.000000Z
DAI/USD,1.00202,1.00202,1.00202,1.00202,1,19.74169,1.00202,2025-02-03T00:53:00.000000000Z,1,2025-02-03T00:54:00.000000Z
