symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DASH/USD,21.61,21.61,21.265,21.265,5,20.09007442,21.375,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DASH/USD,21.61,21.61,21.265,21.265,4,19.97058033,21.375,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DASH/USD,21.61,21.61,21.439,21.439,3,6.76245409,21.592,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DASH/USD,21.61,21.61,21.44,21.44,2,6.56245409,21.596,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DASH/USD,21.61,21.61,21.61,21.61,1,6.05830633,21.61,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DASH/USD,21.819,22.213,21.619,21.737,7,21.15604388,21.744,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DASH/USD,21.819,22.213,21.619,21.737,6,11.32652726,21.75,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DASH/USD,21.819,22.213,21.619,22.213,5,1.49701064,21.84,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DASH/USD,21.819,21.835,21.619,21.835,3,1.00829552,21.766,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DASH/USD,21.819,21.819,21.619,21.619,2,0.50414776,21.698,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DASH/USD,22.622,22.697,22.051,22.518,6,4.19365732,22.574,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DASH/USD,22.622,22.697,22.051,22.675,5,2.19365732,22.625,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DASH/USD,22.622,22.697,22.051,22.695,4,1.69594229,22.61,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DASH/USD,22.622,22.697,22.051,22.051,3,0.69594229,22.489,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DASH/USD,22.622,22.697,22.622,22.697,2,0.49594229,22.666,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DASH/USD,22.666,23.011,21.865,22.4,11,10.71538255,22.492,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DASH/USD,22.666,23.011,21.865,22.283,10,6.20952027,22.559,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DASH/USD,22.666,23.011,21.865,21.865,9,5.71538255,22.583,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DASH/USD,22.666,23.011,21.906,21.906,7,5.22124483,22.651,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DASH/USD,22.666,23.011,22.261,22.261,6,4.72710711,22.729,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DASH/USD,22.666,23.011,22.66,23.011,5,4.52710711,22.749,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DASH/USD,22.666,22.666,22.666,22.666,1,0.47867711,22.666,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DASH/USD,22.094,22.417,21.811,22.261,7,15.27301561,22.138,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DASH/USD,22.094,22.417,21.811,22.317,6,15.07301561,22.137,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DASH/USD,22.094,22.417,21.811,22.21,5,14.59444263,22.131,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DASH/USD,22.094,22.417,21.811,21.811,4,12.12242083,22.115,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DASH/USD,22.094,22.417,22.094,22.417,2,11.62207969,22.107,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DASH/USD,22.094,22.094,22.094,22.094,1,11.12173855,22.094,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DASH/USD,22.261,22.928,21.709,21.709,22,208.13945154,21.945,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DASH/USD,22.261,22.928,21.762,22.928,21,196.93321191,21.958,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DASH/USD,22.261,22.645,21.762,22.141,20,196.49467097,21.956,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
