symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DOT/EUR,4.0,4.0,3.9251,3.9251,13,2848.21890107,3.9842,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.9295,3.9295,11,2810.07968726,3.985,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.9324,3.9324,10,2808.97968726,3.985,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.9423,3.9423,9,2807.41712109,3.9851,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.9755,3.9755,7,2694.32925361,3.9868,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.9755,3.987,6,2693.76953475,3.9868,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.9755,3.9755,5,2693.16953475,3.9868,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.987,3.987,4,2665.74331649,3.987,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.987,3.987,3,2476.17022661,3.987,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,3.987,3.987,2,1237.29022661,3.987,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.0,4.0,4.0,4.0,1,1.89022661,4.0,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DOT/EUR,4.039,4.039,4.0,4.0,37,7200.11210534,4.0098,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0016,4.0016,36,7152.00233195,4.0099,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0016,4.0016,35,7035.81333341,4.01,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0016,4.0016,34,6283.49276599,4.011,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0016,4.0016,32,5287.51550781,4.0128,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0016,4.0016,31,5239.40928315,4.0129,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0016,4.0016,30,4766.56996722,4.014,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0091,4.0091,29,3533.54996722,4.0184,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,28,3532.94996722,4.0184,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,27,3026.15014557,4.0195,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,26,2788.34198661,4.0202,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,25,2392.85726942,4.0216,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,24,2222.98984871,4.0224,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,23,2053.1224668,4.0233,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,22,2047.05051441,4.0233,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,21,2010.71720378,4.0235,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,20,1840.83889127,4.0246,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,19,1819.64544464,4.0248,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,18,1785.69693691,4.025,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,17,1674.12938409,4.0259,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,16,1509.16410669,4.0275,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,15,1443.13738903,4.0282,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0117,4.0117,14,1147.38863509,4.0324,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0128,4.0128,13,1120.64839073,4.0329,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0139,4.0142,12,929.37750923,4.0371,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0139,4.0139,11,881.43574815,4.0383,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0268,4.0268,10,864.05735553,4.0388,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0313,4.0313,9,859.05735553,4.0389,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.0376,4.0376,8,858.45735553,4.0389,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.039,4.039,7,832.20296058,4.039,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.039,4.039,6,663.42964169,4.039,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.039,4.039,5,656.18456723,4.039,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.039,4.039,4,651.82881439,4.039,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.039,4.039,3,590.12540373,4.039,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.039,4.039,2,576.822417,4.039,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.039,4.039,4.039,4.039,1,531.94348556,4.039,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DOT/EUR,4.0538,4.0887,4.0538,4.058,32,3767.3671029,4.0743,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DOT/EUR,4.0538,4.0887,4.0538,4.058,31,3300.74908593,4.0766,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DOT/EUR,4.0538,4.0887,4.0538,4.058,30,3012.65337901,4.0784,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DOT/EUR,4.0538,4.0887,4.0538,4.058,29,2928.84989309,4.0789,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DOT/EUR,4.0538,4.0887,4.0538,4.0619,28,2828.84989309,4.0797,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DOT/EUR,4.0538,4.0887,4.0538,4.069,27,2827.15019554,4.0797,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
