symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DOT/GBP,4.9306,4.9306,4.9306,4.9306,1,1.01407536,4.9306,2025-02-01T19:25:00.000000000Z,1,2025-02-01T19:26:00.000000Z
DOT/GBP,4.9113,4.9113,4.9113,4.9113,1,12.0,4.9113,2025-02-01T19:31:00.000000000Z,1,2025-02-01T19:32:00.000000Z
DOT/GBP,4.9,4.9,4.9,4.9,1,106.12244897,4.9,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
DOT/GBP,4.8963,4.8963,4.8963,4.8963,1,1.02084566,4.8963,2025-02-01T19:52:00.000000000Z,1,2025-02-01T19:53:00.000000Z
DOT/GBP,4.902,4.902,4.902,4.902,1,23.78547663,4.902,2025-02-01T19:57:00.000000000Z,1,2025-02-01T19:58:00.000000Z
DOT/GBP,4.8808,4.8808,4.8808,4.8808,1,1.02442222,4.8808,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
DOT/GBP,4.8681,4.8681,4.8681,4.8681,1,2.78240081,4.8681,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
DOT/GBP,4.8578,4.8578,4.8578,4.8578,1,11.18126279,4.8578,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
DOT/GBP,4.8563,4.8563,4.8563,4.8563,1,11.82133002,4.8563,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
DOT/GBP,4.85,4.85,4.85,4.85,1,4.14,4.85,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
