symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DOT/JPY,760.9,760.9,760.9,760.9,1,2.08392692,760.9,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
DOT/JPY,800.9,800.9,800.9,800.9,1,1.0,800.9,2025-02-02T22:20:00.000000000Z,1,2025-02-02T22:21:00.000000Z
DOT/JPY,807.4,807.4,807.4,807.4,1,1.0,807.4,2025-02-02T22:11:00.000000000Z,1,2025-02-02T22:12:00.000000Z
DOT/JPY,804.2,804.2,804.2,804.2,1,1.0,804.2,2025-02-02T21:17:00.000000000Z,1,2025-02-02T21:18:00.000000Z
DOT/JPY,810.7,810.7,810.7,810.7,1,1.0,810.7,2025-02-02T21:03:00.000000000Z,1,2025-02-02T21:04:00.000000Z
DOT/JPY,807.5,807.5,807.5,807.5,1,1.0,807.5,2025-02-02T21:00:00.000000000Z,1,2025-02-02T21:01:00.000000Z
DOT/JPY,814.0,814.0,814.0,814.0,1,1.0,814.0,2025-02-02T19:32:00.000000000Z,1,2025-02-02T19:33:00.000000Z
DOT/JPY,810.8,810.8,810.8,810.8,1,1.0,810.8,2025-02-02T18:44:00.000000000Z,1,2025-02-02T18:45:00.000000Z
DOT/JPY,817.3,817.3,817.3,817.3,1,1.0,817.3,2025-02-02T18:03:00.000000000Z,1,2025-02-02T18:04:00.000000Z
DOT/JPY,814.0,814.0,814.0,814.0,1,1.0,814.0,2025-02-02T17:57:00.000000000Z,1,2025-02-02T17:58:00.000000Z
