symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DRV/EUR,0.1099,0.1099,0.1099,0.1099,1,17.929,0.1099,2025-02-01T08:21:00.000000000Z,1,2025-02-01T08:22:00.000000Z
DRV/EUR,0.1086,0.1086,0.1086,0.1086,1,50.0,0.1086,2025-02-01T09:19:00.000000000Z,1,2025-02-01T09:20:00.000000Z
DRV/EUR,0.1076,0.1076,0.1076,0.1076,1,1026.79406,0.1076,2025-02-01T13:42:00.000000000Z,1,2025-02-01T13:43:00.000000Z
DRV/EUR,0.1075,0.1075,0.1073,0.1073,2,353.50576,0.1074,2025-02-01T14:57:00.000000000Z,1,2025-02-01T14:58:00.000000Z
DRV/EUR,0.1075,0.1075,0.1075,0.1075,1,178.97279,0.1075,2025-02-01T15:02:00.000000000Z,1,2025-02-01T15:03:00.000000Z
DRV/EUR,0.1065,0.1065,0.1064,0.1064,2,5412.6671,0.1064,2025-02-01T15:21:00.000000000Z,1,2025-02-01T15:22:00.000000Z
DRV/EUR,0.1054,0.1054,0.1054,0.1054,1,1479.78999,0.1054,2025-02-01T15:24:00.000000000Z,1,2025-02-01T15:25:00.000000Z
DRV/EUR,0.1046,0.1046,0.1046,0.1046,1,125.183,0.1046,2025-02-01T17:27:00.000000000Z,1,2025-02-01T17:28:00.000000Z
DRV/EUR,0.105,0.105,0.105,0.105,1,185.73948,0.105,2025-02-01T19:42:00.000000000Z,1,2025-02-01T19:43:00.000000Z
DRV/EUR,0.1056,0.1057,0.1056,0.1057,3,366.96498,0.1056,2025-02-01T19:58:00.000000000Z,1,2025-02-01T19:59:00.000000Z
