symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DYDX/USD,1.029,1.029,1.029,1.029,1,29.89065232,1.029,2025-02-01T19:33:00.000000000Z,1,2025-02-01T19:34:00.000000Z
DYDX/USD,1.026,1.026,1.026,1.026,2,12.8420935,1.026,2025-02-01T19:36:00.000000000Z,1,2025-02-01T19:37:00.000000Z
DYDX/USD,1.028,1.028,1.028,1.028,1,28.65798833,1.028,2025-02-01T19:52:00.000000000Z,1,2025-02-01T19:53:00.000000Z
DYDX/USD,1.021,1.021,1.021,1.021,2,21.54382361,1.021,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
DYDX/USD,1.016,1.016,1.016,1.016,1,9.93600203,1.016,2025-02-01T20:12:00.000000000Z,1,2025-02-01T20:13:00.000000Z
DYDX/USD,1.015,1.015,1.015,1.015,2,28.92852216,1.015,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
DYDX/USD,1.011,1.011,1.011,1.011,1,9.98329036,1.011,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
DYDX/USD,1.01,1.01,1.009,1.009,2,18.48235,1.009,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
DYDX/USD,1.007,1.007,1.007,1.007,1,160.87388282,1.007,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
DYDX/USD,1.006,1.006,1.006,1.006,1,10.03080376,1.006,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
