symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
DYM/USD,0.5174,0.5188,0.5152,0.517,6,877.93243,0.5175,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DYM/USD,0.5174,0.5188,0.5152,0.5152,5,620.33115,0.5177,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DYM/USD,0.5174,0.5188,0.5167,0.5168,4,535.47339,0.5181,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DYM/USD,0.5174,0.5188,0.5167,0.5167,3,484.69473,0.5182,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DYM/USD,0.5174,0.5188,0.5174,0.5188,2,427.9417,0.5184,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DYM/USD,0.5174,0.5174,0.5174,0.5174,1,107.9341,0.5174,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
DYM/USD,0.539,0.5391,0.5274,0.5279,10,1123.27142,0.529,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DYM/USD,0.539,0.5391,0.5274,0.5274,9,1054.10285,0.5291,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DYM/USD,0.539,0.5391,0.5277,0.5277,8,779.73399,0.5297,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DYM/USD,0.539,0.5391,0.528,0.528,7,455.29783,0.5311,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DYM/USD,0.539,0.5391,0.53,0.5307,6,432.50547,0.5313,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DYM/USD,0.539,0.5391,0.53,0.5301,4,156.9675,0.5329,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DYM/USD,0.539,0.5391,0.53,0.53,3,100.61982,0.5344,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DYM/USD,0.539,0.5391,0.539,0.5391,2,50.0,0.539,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
DYM/USD,0.5368,0.5392,0.5368,0.5392,5,952.58449,0.5375,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DYM/USD,0.5368,0.5374,0.5368,0.5374,4,745.19865,0.537,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DYM/USD,0.5368,0.5372,0.5368,0.5372,3,556.14502,0.5369,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DYM/USD,0.5368,0.537,0.5368,0.537,2,310.61744,0.5368,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DYM/USD,0.5368,0.5368,0.5368,0.5368,1,259.74251,0.5368,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
DYM/USD,0.5417,0.5418,0.5371,0.5371,4,435.48969,0.5411,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DYM/USD,0.5417,0.5418,0.5417,0.5418,3,386.0342,0.5417,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DYM/USD,0.5417,0.5417,0.5417,0.5417,2,337.84865,0.5417,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
DYM/USD,0.5407,0.5491,0.5407,0.5419,16,4927.73163,0.5435,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5491,0.5407,0.5419,15,4049.40494,0.5439,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5491,0.5407,0.5429,13,2376.22446,0.5453,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5491,0.5407,0.5437,12,2150.73474,0.5456,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5491,0.5407,0.5453,11,2047.04182,0.5457,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5491,0.5407,0.5491,10,1943.3489,0.5457,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5486,0.5407,0.5486,9,1726.49364,0.5453,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5481,0.5407,0.5481,8,1539.22591,0.5449,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5472,0.5407,0.5471,7,1256.58155,0.5441,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5472,0.5407,0.547,6,1209.23746,0.544,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5472,0.5407,0.5472,5,1154.98979,0.5439,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.545,0.5407,0.545,4,931.59991,0.5431,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5442,0.5407,0.5442,3,755.96329,0.5427,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5435,0.5407,0.5435,2,483.43361,0.5419,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.5407,0.5407,0.5407,0.5407,1,273.62497,0.5407,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
DYM/USD,0.542,0.543,0.5378,0.5413,11,3099.23918,0.5407,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.543,0.5378,0.5429,10,3095.36721,0.5407,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.543,0.5378,0.5428,9,2874.07929,0.5405,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.543,0.5378,0.543,8,2099.68601,0.5397,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.542,0.5378,0.5386,7,2032.78794,0.5396,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.542,0.5378,0.538,6,1841.73356,0.5397,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.542,0.5399,0.5399,4,1387.15494,0.5403,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.542,0.5416,0.5416,3,383.20484,0.5416,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.542,0.5416,0.5416,2,57.84112,0.5417,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.542,0.542,0.542,0.542,1,25.3885,0.542,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
DYM/USD,0.5561,0.5561,0.5468,0.5478,5,2247.68004,0.5479,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
DYM/USD,0.5561,0.5561,0.5468,0.5468,4,2042.4286,0.5479,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
DYM/USD,0.5561,0.5561,0.5477,0.5477,2,1947.59986,0.5479,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
DYM/USD,0.5561,0.5561,0.5561,0.5561,1,60.8353,0.5561,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
