symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ENA/EUR,0.498,0.498,0.498,0.498,1,68.28248,0.498,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ENA/EUR,0.4999,0.4999,0.498,0.498,5,1083.51311,0.4983,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ENA/EUR,0.4999,0.4999,0.4994,0.4994,3,170.57575,0.4996,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ENA/EUR,0.5113,0.5113,0.5113,0.5113,1,378.006,0.5113,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ENA/EUR,0.4999,0.4999,0.4999,0.4999,1,6.85192,0.4999,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ENA/EUR,0.4953,0.4953,0.4921,0.4921,5,1544.67391,0.4942,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ENA/EUR,0.4953,0.4953,0.4921,0.4921,4,1441.48502,0.4944,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ENA/EUR,0.4953,0.4953,0.4921,0.4921,3,1405.27178,0.4944,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ENA/EUR,0.4953,0.4953,0.4944,0.4944,2,1224.20558,0.4948,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ENA/EUR,0.4953,0.4953,0.4953,0.4953,1,611.54616,0.4953,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ENA/EUR,0.4821,0.4821,0.4776,0.4776,4,359.96609,0.4804,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ENA/EUR,0.4821,0.4821,0.482,0.482,3,229.11514,0.482,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ENA/EUR,0.4821,0.4821,0.4821,0.4821,1,114.75427,0.4821,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ENA/EUR,0.4913,0.4913,0.4867,0.4867,8,304.6586,0.4886,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENA/EUR,0.4913,0.4913,0.4867,0.4867,7,254.6586,0.4889,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENA/EUR,0.4913,0.4913,0.4867,0.4867,6,252.65775,0.489,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENA/EUR,0.4913,0.4913,0.4867,0.4867,5,154.6162,0.4904,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENA/EUR,0.4913,0.4913,0.4913,0.4913,4,126.7862,0.4913,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENA/EUR,0.4913,0.4913,0.4913,0.4913,3,124.91883,0.4913,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENA/EUR,0.4913,0.4913,0.4913,0.4913,2,33.41819,0.4913,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENA/EUR,0.4913,0.4913,0.4913,0.4913,1,27.84849,0.4913,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENA/EUR,0.5102,0.5102,0.496,0.496,31,14572.22584,0.5051,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.4962,0.4962,30,14446.57504,0.5052,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.5,0.5,22,9825.50296,0.5088,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.5007,0.5007,21,9441.14294,0.5092,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.5009,0.5009,19,9263.49096,0.5094,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.505,0.505,18,9216.6934,0.5094,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.505,0.505,17,9157.21993,0.5094,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.505,0.505,16,8877.87532,0.5096,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.5054,0.5054,15,8721.6934,0.5097,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.5066,0.5066,14,8598.53073,0.5097,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.5069,0.5069,12,8302.53552,0.5098,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5102,0.5102,0.5069,0.5069,11,8023.62263,0.5099,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENA/EUR,0.5151,0.5151,0.5151,0.5151,2,121.07639,0.5151,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
ENA/EUR,0.5247,0.5247,0.5201,0.5201,3,32.35368,0.5223,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
ENA/EUR,0.525,0.5296,0.525,0.5296,3,32.28897,0.5272,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
ENA/EUR,0.5201,0.5201,0.5185,0.5185,9,3171.64858,0.5196,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
ENA/EUR,0.5224,0.5224,0.5224,0.5224,1,10.78442,0.5224,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
ENA/EUR,0.5271,0.5271,0.5247,0.5247,2,21.42541,0.5258,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
ENA/EUR,0.5295,0.5295,0.5288,0.5288,2,310.63982,0.5288,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
ENA/EUR,0.5319,0.5319,0.5319,0.5319,1,10.59181,0.5319,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
ENA/EUR,0.5348,0.5348,0.5348,0.5348,1,618.87807,0.5348,2025-02-03T01:40:00.000000000Z,1,2025-02-03T01:41:00.000000Z
