symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ENA/USD,0.6953,0.6953,0.6953,0.6953,1,240.31343,0.6953,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
ENA/USD,0.6942,0.6942,0.6931,0.6931,3,1434.71906,0.6932,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
ENA/USD,0.694,0.694,0.6932,0.6932,10,20283.72766,0.6936,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
ENA/USD,0.6971,0.6971,0.6971,0.6971,1,216.447,0.6971,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
ENA/USD,0.6937,0.6937,0.6937,0.6937,1,365.96399,0.6937,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
ENA/USD,0.6919,0.6919,0.6901,0.6901,3,126.37345,0.6915,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
ENA/USD,0.69,0.69,0.6898,0.6898,2,785.654,0.6899,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
ENA/USD,0.6891,0.6891,0.687,0.687,5,1745.7469,0.6888,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
ENA/USD,0.687,0.687,0.685,0.685,6,1600.36513,0.6853,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
ENA/USD,0.685,0.685,0.6846,0.6846,6,7575.32714,0.6847,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
