symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ENJ/EUR,0.097,0.097,0.097,0.097,1,1983.14242424,0.097,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ENJ/EUR,0.097,0.097,0.097,0.097,2,297.0,0.097,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ENJ/EUR,0.097,0.097,0.097,0.097,1,148.0,0.097,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ENJ/EUR,0.098,0.098,0.098,0.098,1,276.0,0.098,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ENJ/EUR,0.096,0.101,0.096,0.101,4,11040.74726419,0.096,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ENJ/EUR,0.104,0.105,0.1,0.1,15,16619.41285533,0.101,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENJ/EUR,0.104,0.105,0.1,0.105,13,15708.82293356,0.101,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENJ/EUR,0.104,0.104,0.1,0.1,12,15608.82293356,0.101,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENJ/EUR,0.104,0.104,0.102,0.103,4,4638.97984573,0.102,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENJ/EUR,0.104,0.104,0.102,0.102,3,444.31372549,0.102,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENJ/EUR,0.104,0.104,0.104,0.104,2,100.0,0.104,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ENJ/EUR,0.105,0.105,0.105,0.105,1,1177.99047821,0.105,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
ENJ/EUR,0.107,0.107,0.106,0.106,2,3161.49329176,0.106,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
ENJ/EUR,0.107,0.107,0.107,0.107,6,19501.38691448,0.107,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
ENJ/EUR,0.108,0.108,0.108,0.108,2,3618.14814814,0.108,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
ENJ/EUR,0.111,0.111,0.111,0.111,1,1545.45454545,0.111,2025-02-03T01:40:00.000000000Z,1,2025-02-03T01:41:00.000000Z
ENJ/EUR,0.111,0.111,0.111,0.111,1,457.41027969,0.111,2025-02-03T01:28:00.000000000Z,1,2025-02-03T01:29:00.000000Z
ENJ/EUR,0.111,0.111,0.111,0.111,1,2714.43755752,0.111,2025-02-03T01:27:00.000000000Z,1,2025-02-03T01:28:00.000000Z
ENJ/EUR,0.111,0.111,0.111,0.111,1,194.86486,0.111,2025-02-03T01:22:00.000000000Z,1,2025-02-03T01:23:00.000000Z
ENJ/EUR,0.114,0.114,0.114,0.114,1,82.0,0.114,2025-02-03T00:58:00.000000000Z,1,2025-02-03T00:59:00.000000Z
