symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
EOS/EUR,0.5006,0.5073,0.4933,0.4933,8,14915.92798856,0.4972,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
EOS/EUR,0.5006,0.5073,0.4981,0.5047,6,11889.13291758,0.4982,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
EOS/EUR,0.5006,0.5073,0.4981,0.4982,5,11693.92354758,0.4981,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
EOS/EUR,0.5006,0.5073,0.4981,0.4981,4,11685.74781527,0.4981,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
EOS/EUR,0.5006,0.5073,0.4989,0.4989,3,40.81297026,0.5009,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
EOS/EUR,0.5006,0.5073,0.5006,0.5073,2,16.81297026,0.5039,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
EOS/EUR,0.5006,0.5006,0.5006,0.5006,1,8.43365526,0.5006,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
EOS/EUR,0.5081,0.5081,0.5031,0.5031,4,48.80670976,0.5052,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
EOS/EUR,0.5081,0.5081,0.5049,0.5056,3,40.78867994,0.5056,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
EOS/EUR,0.5081,0.5081,0.5049,0.5049,2,32.18774009,0.5057,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
EOS/EUR,0.5081,0.5081,0.5081,0.5081,1,8.18774009,0.5081,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
EOS/EUR,0.5209,0.5209,0.5103,0.5103,2,25.93642938,0.5123,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
EOS/EUR,0.5209,0.5209,0.5209,0.5209,1,5.0,0.5209,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
EOS/EUR,0.5161,0.5162,0.5106,0.511,9,1143.70012179,0.5144,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
EOS/EUR,0.5161,0.5162,0.5106,0.5106,8,1119.70012179,0.5145,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
EOS/EUR,0.5161,0.5162,0.5115,0.5115,7,1111.59196705,0.5145,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
EOS/EUR,0.5161,0.5162,0.5144,0.5144,5,736.59196705,0.5161,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
EOS/EUR,0.5161,0.5162,0.5161,0.5161,4,722.82377363,0.5161,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
EOS/EUR,0.5161,0.5162,0.5161,0.5162,2,395.81362346,0.5161,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
EOS/EUR,0.5161,0.5161,0.5161,0.5161,1,20.81362346,0.5161,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
EOS/EUR,0.5181,0.5181,0.5158,0.5158,2,40.04818114,0.5169,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
EOS/EUR,0.5181,0.5181,0.5181,0.5181,1,19.30129318,0.5181,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
EOS/EUR,0.5214,0.526,0.5191,0.526,34,17498.00930247,0.5227,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
EOS/EUR,0.5214,0.5258,0.5191,0.5258,33,17269.85305972,0.5226,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
