symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
EOS/USDC,0.5246,0.5246,0.5201,0.5201,2,24.19353995,0.5236,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
EOS/USDC,0.5246,0.5246,0.5246,0.5246,1,19.19353995,0.5246,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
EOS/USDC,0.5914,0.5914,0.5914,0.5914,1,125.92382438,0.5914,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
EOS/USDC,0.5957,0.5957,0.5957,0.5957,1,125.01485568,0.5957,2025-02-03T01:31:00.000000000Z,1,2025-02-03T01:32:00.000000Z
EOS/USDC,0.598,0.598,0.598,0.598,1,125.01485568,0.598,2025-02-03T01:22:00.000000000Z,1,2025-02-03T01:23:00.000000Z
EOS/USDC,0.6055,0.6055,0.6055,0.6055,1,123.46636534,0.6055,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
EOS/USDC,0.6092,0.6092,0.6092,0.6092,1,123.46636534,0.6092,2025-02-03T01:02:00.000000000Z,1,2025-02-03T01:03:00.000000Z
EOS/USDC,0.5978,0.5978,0.5978,0.5978,1,125.82085962,0.5978,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
EOS/USDC,0.5972,0.5972,0.5972,0.5972,1,5.0,0.5972,2025-02-03T00:47:00.000000000Z,1,2025-02-03T00:48:00.000000Z
EOS/USDC,0.5868,0.5868,0.5868,0.5868,1,5.0,0.5868,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
EOS/USDC,0.6,0.6,0.6,0.6,1,16.66666666,0.6,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
EOS/USDC,0.608,0.608,0.608,0.608,1,125.82085962,0.608,2025-02-03T00:32:00.000000000Z,1,2025-02-03T00:33:00.000000Z
