symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ETC/EUR,18.421,18.421,18.421,18.421,1,11.93710977,18.421,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ETC/EUR,18.94,18.972,18.556,18.556,5,202.65303933,18.964,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETC/EUR,18.94,18.972,18.94,18.972,3,198.90173733,18.971,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETC/EUR,18.94,18.966,18.94,18.966,2,12.21739252,18.964,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETC/EUR,18.706,18.706,18.706,18.706,6,6.0,18.706,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ETC/EUR,18.72,18.72,18.72,18.72,1,0.5754944,18.72,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETC/EUR,18.823,18.955,18.773,18.955,7,60.52714669,18.777,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ETC/EUR,18.823,18.827,18.773,18.773,6,59.95914353,18.775,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ETC/EUR,18.823,18.827,18.773,18.773,5,36.27180125,18.777,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ETC/EUR,18.823,18.827,18.773,18.773,4,19.79630818,18.781,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ETC/EUR,18.823,18.827,18.823,18.827,3,3.3208168,18.824,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ETC/EUR,18.823,18.823,18.823,18.823,2,2.20299878,18.823,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ETC/EUR,18.823,18.823,18.823,18.823,1,1.10686812,18.823,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ETC/EUR,18.65,18.65,18.535,18.624,4,18.60179281,18.589,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ETC/EUR,18.65,18.65,18.535,18.535,3,18.28879281,18.589,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ETC/EUR,18.65,18.65,18.558,18.558,2,9.98911983,18.633,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ETC/EUR,18.65,18.65,18.65,18.65,1,8.24849537,18.65,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ETC/EUR,17.806,18.649,17.75,18.649,7,220.41113076,18.157,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ETC/EUR,17.806,18.44,17.75,18.44,6,219.88115061,18.156,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ETC/EUR,17.806,18.343,17.75,18.343,5,179.38802061,18.092,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ETC/EUR,17.806,18.34,17.75,18.34,4,135.69976842,18.011,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ETC/EUR,17.806,17.809,17.75,17.809,3,83.58015915,17.806,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ETC/EUR,17.806,17.806,17.75,17.75,2,6.40085991,17.781,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ETC/EUR,17.806,17.806,17.806,17.806,1,3.643,17.806,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ETC/EUR,18.643,18.643,17.935,17.935,15,304.37540812,17.997,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,17.935,17.935,14,175.22426026,18.044,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,17.935,17.935,13,149.29681944,18.063,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,17.936,17.936,12,81.37540812,18.17,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,17.975,18.134,11,70.23346571,18.207,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,17.975,17.975,10,53.93444571,18.229,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,18.0,18.0,9,30.2284729,18.428,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,18.261,18.261,7,25.8784729,18.5,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,18.294,18.294,6,23.2374729,18.528,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,18.294,18.294,5,23.0374729,18.53,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,18.3,18.3,4,21.9374729,18.541,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,18.42,18.42,3,16.35722041,18.624,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,18.643,18.643,18.643,18.643,2,15.0,18.643,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETC/EUR,19.686,19.686,18.808,18.808,67,1858.16342111,19.278,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETC/EUR,19.686,19.686,18.825,18.825,66,1806.06912609,19.292,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
