symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ETHFI/USD,0.911,0.911,0.911,0.911,2,215.51163,0.911,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETHFI/USD,0.911,0.911,0.911,0.911,1,160.0,0.911,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETHFI/USD,0.927,0.927,0.911,0.911,7,545.28,0.918,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ETHFI/USD,0.927,0.927,0.917,0.917,6,441.84,0.919,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ETHFI/USD,0.927,0.927,0.917,0.917,5,339.08,0.92,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ETHFI/USD,0.927,0.927,0.917,0.917,4,236.32,0.922,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ETHFI/USD,0.927,0.927,0.919,0.919,3,203.32,0.923,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ETHFI/USD,0.927,0.927,0.927,0.927,1,101.66,0.927,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ETHFI/USD,0.927,0.933,0.924,0.933,7,672.42969,0.929,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ETHFI/USD,0.927,0.931,0.924,0.931,6,571.42969,0.928,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ETHFI/USD,0.927,0.929,0.924,0.928,5,360.54774,0.927,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ETHFI/USD,0.927,0.929,0.924,0.924,4,312.69715,0.927,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ETHFI/USD,0.927,0.929,0.927,0.929,3,245.33595,0.928,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ETHFI/USD,0.927,0.929,0.927,0.929,2,105.0,0.928,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ETHFI/USD,0.927,0.927,0.927,0.927,1,34.0,0.927,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ETHFI/USD,0.934,0.934,0.928,0.928,10,575.336,0.931,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.928,0.928,9,517.77232,0.931,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.93,0.934,8,363.77232,0.933,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.93,0.934,7,305.56768,0.933,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.93,0.934,6,153.56768,0.932,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.93,0.934,5,145.76768,0.932,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.93,0.934,4,129.76768,0.932,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.93,0.93,3,114.74768,0.932,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.934,0.934,2,67.0,0.934,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,0.934,0.934,0.934,0.934,1,34.0,0.934,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ETHFI/USD,1.026,1.026,0.968,0.968,18,686.30202,1.006,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.0,1.003,17,675.41203,1.007,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.0,1.003,16,628.87629,1.007,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.0,1.0,15,582.34055,1.008,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.006,1.006,14,567.34055,1.008,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.006,1.006,13,491.71955,1.008,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.006,1.006,12,346.71955,1.009,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.006,1.006,11,336.21955,1.009,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.006,1.006,10,325.71955,1.009,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.026,1.026,1.012,1.012,9,110.71955,1.017,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETHFI/USD,1.029,1.136,1.029,1.136,2,56.3899,1.088,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
ETHFI/USD,1.056,1.056,1.056,1.056,1,9.46969,1.056,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
ETHFI/USD,1.08,1.08,1.077,1.079,10,232.30585,1.078,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
