symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ETHW/EUR,2.453,2.453,2.453,2.453,1,50.0,2.453,2025-02-01T17:07:00.000000000Z,1,2025-02-01T17:08:00.000000Z
ETHW/EUR,2.461,2.461,2.461,2.461,1,5.0,2.461,2025-02-01T17:27:00.000000000Z,1,2025-02-01T17:28:00.000000Z
ETHW/EUR,2.44,2.44,2.44,2.44,1,37.1457445,2.44,2025-02-01T18:28:00.000000000Z,1,2025-02-01T18:29:00.000000Z
ETHW/EUR,2.436,2.436,2.436,2.436,1,21.08032736,2.436,2025-02-01T18:34:00.000000000Z,1,2025-02-01T18:35:00.000000Z
ETHW/EUR,2.42,2.42,2.42,2.42,1,8.0,2.42,2025-02-01T18:53:00.000000000Z,1,2025-02-01T18:54:00.000000Z
ETHW/EUR,2.411,2.411,2.411,2.411,1,36.76969158,2.411,2025-02-01T18:57:00.000000000Z,1,2025-02-01T18:58:00.000000Z
ETHW/EUR,2.407,2.407,2.407,2.407,1,4.44536767,2.407,2025-02-01T19:01:00.000000000Z,1,2025-02-01T19:02:00.000000Z
ETHW/EUR,2.409,2.409,2.409,2.409,1,7.99916978,2.409,2025-02-01T19:06:00.000000000Z,1,2025-02-01T19:07:00.000000Z
ETHW/EUR,2.363,2.363,2.363,2.363,1,37.14126006,2.363,2025-02-01T19:38:00.000000000Z,1,2025-02-01T19:39:00.000000Z
ETHW/EUR,2.335,2.335,2.335,2.335,1,34.96579891,2.335,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
