symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ETH/CHF,2229.09,2229.09,2126.08,2185.46,37,11.23948205,2185.49,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2126.08,2185.46,33,11.17334869,2185.49,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2126.08,2126.08,32,11.15681535,2185.49,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2126.08,2126.08,31,10.93712654,2186.68,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2136.19,2136.19,30,10.92840654,2186.73,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2153.37,2153.37,29,10.73017847,2187.66,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2176.46,2176.46,28,10.56895691,2188.18,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2180.98,2200.0,27,10.36895691,2188.41,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2180.98,2180.98,26,10.28422945,2188.31,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2180.99,2180.99,24,8.46331394,2189.89,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2198.65,2198.65,18,3.70173736,2201.24,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2200.0,2200.0,17,3.54490131,2201.36,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2200.0,2200.0,16,2.82913596,2201.7,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2200.0,2200.0,15,2.02945163,2202.37,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2200.0,2200.0,14,2.01047873,2202.4,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2200.0,2200.0,13,1.97523119,2202.44,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ETH/CHF,2229.09,2229.09,2200.0,2200.0,12,1.93997879,2202.48,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
