symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ETH/DAI,3340.799,3340.799,3340.799,3340.799,1,0.14564461,3340.799,2025-02-01T02:08:00.000000000Z,1,2025-02-01T02:09:00.000000Z
ETH/DAI,3305.268,3305.268,3305.268,3305.268,1,0.29285928,3305.268,2025-02-01T03:00:00.000000000Z,1,2025-02-01T03:01:00.000000Z
ETH/DAI,3273.899,3273.899,3273.899,3273.899,1,0.01354829,3273.899,2025-02-01T08:29:00.000000000Z,1,2025-02-01T08:30:00.000000Z
ETH/DAI,3223.142,3223.142,3223.142,3223.142,1,0.00063118,3223.142,2025-02-01T09:48:00.000000000Z,1,2025-02-01T09:49:00.000000Z
ETH/DAI,3270.866,3270.866,3270.866,3270.866,1,0.0357,3270.866,2025-02-01T12:34:00.000000000Z,1,2025-02-01T12:35:00.000000Z
ETH/DAI,3259.229,3259.23,3259.229,3259.23,5,2.00001046,3259.229,2025-02-01T14:59:00.000000000Z,1,2025-02-01T15:00:00.000000Z
ETH/DAI,3278.737,3286.616,3278.737,3286.616,9,3.60446025,3279.983,2025-02-01T18:25:00.000000000Z,1,2025-02-01T18:26:00.000000Z
ETH/DAI,3223.538,3223.538,3223.07,3223.07,3,0.04585463,3223.44,2025-02-01T19:18:00.000000000Z,1,2025-02-01T19:19:00.000000Z
ETH/DAI,3209.679,3209.679,3209.679,3209.679,1,0.00311557,3209.679,2025-02-01T19:25:00.000000000Z,1,2025-02-01T19:26:00.000000Z
ETH/DAI,3184.642,3184.642,3184.642,3184.642,1,0.01372282,3184.642,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
