symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ETH/JPY,389167.0,389167.0,389167.0,389167.0,1,0.4,389167.0,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ETH/JPY,398738.0,398738.0,396202.0,396202.0,7,0.46467436,396314.0,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETH/JPY,398738.0,398738.0,396202.0,396202.0,6,0.45251962,396317.0,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETH/JPY,398738.0,398738.0,396202.0,396202.0,5,0.44036488,396320.0,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETH/JPY,398738.0,398738.0,396202.0,396202.0,3,0.04036488,397495.0,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETH/JPY,398738.0,398738.0,397835.0,397835.0,2,0.03087176,397893.0,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETH/JPY,398738.0,398738.0,398738.0,398738.0,1,0.002,398738.0,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ETH/JPY,393292.0,397835.0,393292.0,397835.0,4,0.08850718,397732.0,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ETH/JPY,393292.0,397835.0,393292.0,397835.0,3,0.05965344,397682.0,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ETH/JPY,393292.0,397835.0,393292.0,397835.0,2,0.03081772,397540.0,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ETH/JPY,393292.0,393292.0,393292.0,393292.0,1,0.002,393292.0,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ETH/JPY,392666.0,392666.0,392666.0,392666.0,13,2.0,392666.0,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETH/JPY,392666.0,392666.0,392666.0,392666.0,12,1.99140405,392666.0,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETH/JPY,392666.0,392666.0,392666.0,392666.0,11,1.83976689,392666.0,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETH/JPY,392666.0,392666.0,392666.0,392666.0,10,1.68814313,392666.0,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETH/JPY,392666.0,392666.0,392666.0,392666.0,9,1.6,392666.0,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETH/JPY,392666.0,392666.0,392666.0,392666.0,8,1.28814313,392666.0,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETH/JPY,392666.0,392666.0,392666.0,392666.0,2,0.40260805,392666.0,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETH/JPY,392666.0,392666.0,392666.0,392666.0,1,0.4,392666.0,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ETH/JPY,389767.0,389767.0,389767.0,389767.0,2,0.44403364,389767.0,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ETH/JPY,389767.0,389767.0,389767.0,389767.0,1,0.4,389767.0,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ETH/JPY,401146.0,401146.0,385915.0,385915.0,22,3.51409677,393683.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,21,3.47937397,393760.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,20,3.3072196,393892.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,19,3.26348553,393927.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,18,3.07937397,394088.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,17,2.86348553,394303.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,15,2.46348553,394801.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,14,2.33206774,395002.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,13,2.27937397,395089.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,12,1.93206774,395782.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,11,1.92837119,395791.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,391236.0,391236.0,10,1.87937397,395909.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,395101.0,395693.0,9,1.47937397,397173.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,395101.0,395693.0,8,1.29381471,397386.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,395101.0,395693.0,7,1.26207325,397428.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,395101.0,395693.0,6,1.25656583,397436.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,395101.0,395693.0,5,1.20449213,397511.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,395101.0,395693.0,4,0.80449213,398415.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,395101.0,399914.0,3,0.40449213,401108.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,395101.0,395101.0,2,0.402,401115.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,401146.0,401146.0,401146.0,401146.0,1,0.4,401146.0,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ETH/JPY,407865.0,409247.0,403165.0,405387.0,11,0.96993521,407091.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,409247.0,403165.0,405387.0,10,0.92243521,407178.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,409247.0,403165.0,405387.0,8,0.52243521,408550.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,409247.0,403165.0,405387.0,7,0.51328555,408607.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,409247.0,403165.0,403165.0,6,0.44680624,409086.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,409247.0,407865.0,408807.0,5,0.44452438,409116.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,409247.0,407865.0,409247.0,4,0.44065703,409119.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,409247.0,407865.0,409247.0,3,0.14106181,408848.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,409247.0,407865.0,409247.0,2,0.13213623,408821.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,407865.0,407865.0,407865.0,407865.0,1,0.04065703,407865.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ETH/JPY,414511.0,414934.0,413587.0,414934.0,6,1.20284034,414931.0,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
ETH/JPY,411419.0,411419.0,411419.0,411419.0,6,1.26978572,411419.0,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
ETH/JPY,422954.0,422954.0,422954.0,422954.0,1,0.00225696,422954.0,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
ETH/JPY,430091.0,431013.0,429099.0,430097.0,4,0.01411596,429714.0,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
ETH/JPY,440174.0,440174.0,440174.0,440174.0,1,0.03767279,440174.0,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
ETH/JPY,435667.0,437821.0,435667.0,437074.0,3,0.0122819,436407.0,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
ETH/JPY,444380.0,444380.0,444380.0,444380.0,1,0.00723795,444380.0,2025-02-02T23:48:00.000000000Z,1,2025-02-02T23:49:00.000000Z
ETH/JPY,441101.0,442152.0,441101.0,442152.0,2,0.004,441626.0,2025-02-02T23:40:00.000000000Z,1,2025-02-02T23:41:00.000000Z
