symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
EUL/EUR,3.75,3.75,3.75,3.75,2,5.08110418,3.75,2025-01-30T16:50:00.000000000Z,1,2025-01-30T16:51:00.000000Z
EUL/EUR,3.75,3.75,3.75,3.75,3,7.62324585,3.75,2025-01-30T16:51:00.000000000Z,1,2025-01-30T16:52:00.000000Z
EUL/EUR,3.75,3.75,3.75,3.75,3,7.6120439,3.75,2025-01-30T16:52:00.000000000Z,1,2025-01-30T16:53:00.000000Z
EUL/EUR,3.866,3.866,3.866,3.866,9,22.1946376,3.866,2025-01-31T11:08:00.000000000Z,1,2025-01-31T11:09:00.000000Z
EUL/EUR,3.866,3.867,3.866,3.867,10,22.22596681,3.866,2025-01-31T11:09:00.000000000Z,1,2025-01-31T11:10:00.000000Z
EUL/EUR,3.867,3.867,3.867,3.867,33,77.20324729,3.867,2025-01-31T11:10:00.000000000Z,1,2025-01-31T11:11:00.000000Z
EUL/EUR,3.867,4.072,3.867,4.072,2,12.8527645,4.07,2025-01-31T11:11:00.000000000Z,1,2025-01-31T11:12:00.000000Z
EUL/EUR,3.822,3.822,3.822,3.822,1,1.3775,3.822,2025-01-31T11:29:00.000000000Z,1,2025-01-31T11:30:00.000000Z
EUL/EUR,3.889,3.889,3.889,3.889,1,2.10968095,3.889,2025-01-31T13:26:00.000000000Z,1,2025-01-31T13:27:00.000000Z
EUL/EUR,3.874,3.874,3.774,3.774,3,25.84168542,3.792,2025-02-01T18:49:00.000000000Z,1,2025-02-01T18:50:00.000000Z
