symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
EURQ/USD,1.0211,1.0211,1.0201,1.0201,2,11.68082,1.0205,2025-02-02T16:48:00.000000000Z,1,2025-02-02T16:49:00.000000Z
EURQ/USD,1.04,1.04,1.04,1.04,1,5.0,1.04,2025-01-30T23:13:00.000000000Z,1,2025-01-30T23:14:00.000000Z
EURQ/USD,1.04,1.04,1.04,1.04,1,77.20517,1.04,2025-01-30T22:49:00.000000000Z,1,2025-01-30T22:50:00.000000Z
EURQ/USD,1.04,1.04,1.04,1.04,1,7.55194,1.04,2025-01-30T20:27:00.000000000Z,1,2025-01-30T20:28:00.000000Z
EURQ/USD,1.04,1.04,1.04,1.04,1,5.01992,1.04,2025-01-28T20:37:00.000000000Z,1,2025-01-28T20:38:00.000000Z
EURQ/USD,1.04,1.04,1.04,1.04,1,5.0,1.04,2025-01-28T07:08:00.000000000Z,1,2025-01-28T07:09:00.000000Z
EURQ/USD,1.0216,1.0216,1.0216,1.0216,1,41.85641,1.0216,2025-01-27T20:48:00.000000000Z,1,2025-01-27T20:49:00.000000Z
EURQ/USD,1.0399,1.04,1.0399,1.04,2,110.43397,1.0399,2025-01-27T01:45:00.000000000Z,1,2025-01-27T01:46:00.000000Z
EURQ/USD,1.0297,1.0297,1.0216,1.0216,2,149.6066,1.0227,2025-01-24T17:55:00.000000000Z,1,2025-01-24T17:56:00.000000Z
EURQ/USD,1.04,1.04,1.04,1.04,1,5.0,1.04,2025-01-24T16:57:00.000000000Z,1,2025-01-24T16:58:00.000000Z
