symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
EURT/EUR,0.9954,0.9954,0.9953,0.9953,2,45.0,0.9953,2025-02-03T01:38:00.000000000Z,1,2025-02-03T01:39:00.000000Z
EURT/EUR,0.9954,0.9954,0.9954,0.9954,1,45.0,0.9954,2025-02-03T01:18:00.000000000Z,1,2025-02-03T01:19:00.000000Z
EURT/EUR,0.9954,0.9954,0.9954,0.9954,3,135.0,0.9954,2025-02-03T01:08:00.000000000Z,1,2025-02-03T01:09:00.000000Z
EURT/EUR,0.995,0.995,0.9949,0.9949,3,90.0,0.9949,2025-02-03T00:50:00.000000000Z,1,2025-02-03T00:51:00.000000Z
EURT/EUR,1.0,1.0,1.0,1.0,2,54.94879,1.0,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
EURT/EUR,0.9951,0.9951,0.995,0.995,3,135.0,0.995,2025-02-03T00:03:00.000000000Z,1,2025-02-03T00:04:00.000000Z
EURT/EUR,0.9952,1.0,0.9952,1.0,7,348.0744,0.9975,2025-02-02T23:53:00.000000000Z,1,2025-02-02T23:54:00.000000Z
EURT/EUR,0.9952,0.9952,0.9952,0.9952,1,85.0,0.9952,2025-02-02T23:45:00.000000000Z,1,2025-02-02T23:46:00.000000Z
EURT/EUR,1.0,1.0,1.0,1.0,1,45.0187,1.0,2025-02-02T23:44:00.000000000Z,1,2025-02-02T23:45:00.000000Z
EURT/EUR,0.9952,1.0,0.9952,1.0,3,135.01394,0.9983,2025-02-02T23:36:00.000000000Z,1,2025-02-02T23:37:00.000000Z
