symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
EURT/USD,1.0252,1.0252,1.0252,1.0252,1,72.65284,1.0252,2025-02-03T01:15:00.000000000Z,1,2025-02-03T01:16:00.000000Z
EURT/USD,1.0244,1.0244,1.0244,1.0244,1,14.4085,1.0244,2025-02-03T00:51:00.000000000Z,1,2025-02-03T00:52:00.000000Z
EURT/USD,1.0157,1.0157,1.0157,1.0157,1,17.5366,1.0157,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
EURT/USD,1.0254,1.0254,1.0254,1.0254,1,14.4085,1.0254,2025-02-03T00:48:00.000000000Z,1,2025-02-03T00:49:00.000000Z
EURT/USD,0.9892,0.9892,0.9892,0.9892,1,17.5366,0.9892,2025-02-03T00:46:00.000000000Z,1,2025-02-03T00:47:00.000000Z
EURT/USD,1.0108,1.0108,1.0108,1.0108,1,1.5346,1.0108,2025-02-02T23:06:00.000000000Z,1,2025-02-02T23:07:00.000000Z
EURT/USD,1.0245,1.0245,1.0245,1.0245,1,1.01,1.0245,2025-02-02T23:05:00.000000000Z,1,2025-02-02T23:06:00.000000Z
EURT/USD,1.0091,1.0091,1.0091,1.0091,1,0.9901,1.0091,2025-02-02T23:02:00.000000000Z,1,2025-02-02T23:03:00.000000Z
EURT/USD,0.9927,0.9927,0.9927,0.9927,1,16.6348,0.9927,2025-02-02T22:29:00.000000000Z,1,2025-02-02T22:30:00.000000Z
EURT/USD,1.0253,1.0253,1.0253,1.0253,2,806.25401,1.0253,2025-02-02T21:20:00.000000000Z,1,2025-02-02T21:21:00.000000Z
