symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
EUR/AUD,1.67084,1.67084,1.67084,1.67084,1,9.53224264,1.67084,2025-01-31T18:46:00.000000000Z,1,2025-01-31T18:47:00.000000Z
EUR/AUD,1.66905,1.66905,1.66905,1.66905,1,299.26038179,1.66905,2025-01-31T21:49:00.000000000Z,1,2025-01-31T21:50:00.000000Z
EUR/AUD,1.66696,1.66696,1.66696,1.66696,1,299.49086009,1.66696,2025-01-31T22:39:00.000000000Z,1,2025-01-31T22:40:00.000000Z
EUR/AUD,1.66712,1.66712,1.66712,1.66712,1,9.26495993,1.66712,2025-02-01T01:01:00.000000000Z,1,2025-02-01T01:02:00.000000Z
EUR/AUD,1.66704,1.66704,1.66704,1.66704,1,11.27957878,1.66704,2025-02-01T02:57:00.000000000Z,1,2025-02-01T02:58:00.000000Z
EUR/AUD,1.66857,1.66858,1.66687,1.66687,4,614.64659381,1.66856,2025-02-01T03:04:00.000000000Z,1,2025-02-01T03:05:00.000000Z
EUR/AUD,1.66912,1.66912,1.66912,1.66912,1,96.1890147,1.66912,2025-02-01T08:00:00.000000000Z,1,2025-02-01T08:01:00.000000Z
EUR/AUD,1.66874,1.66874,1.66874,1.66874,1,35.1885,1.66874,2025-02-01T08:45:00.000000000Z,1,2025-02-01T08:46:00.000000Z
EUR/AUD,1.67265,1.67265,1.67265,1.67265,1,8.96057347,1.67265,2025-02-01T11:24:00.000000000Z,1,2025-02-01T11:25:00.000000Z
EUR/AUD,1.66866,1.66866,1.66866,1.66866,1,556.67008395,1.66866,2025-02-01T19:51:00.000000000Z,1,2025-02-01T19:52:00.000000Z
