symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
EWT/USD,0.956,0.956,0.955,0.955,2,376.0903919,0.955,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
EWT/USD,0.956,0.956,0.956,0.956,1,100.0,0.956,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
EWT/USD,0.955,0.955,0.955,0.955,5,342.14442695,0.955,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
EWT/USD,0.955,0.955,0.955,0.955,4,340.14442695,0.955,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
EWT/USD,0.955,0.955,0.955,0.955,3,290.14442695,0.955,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
EWT/USD,0.955,0.955,0.955,0.955,2,247.22442695,0.955,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
EWT/USD,0.955,0.955,0.955,0.955,1,233.22442695,0.955,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
EWT/USD,0.953,0.955,0.936,0.955,18,2425.76788171,0.946,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
EWT/USD,0.953,0.953,0.936,0.936,14,2044.00270056,0.944,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
EWT/USD,0.955,0.965,0.955,0.965,8,900.0,0.959,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
EWT/USD,0.964,0.967,0.964,0.967,3,111.0,0.965,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
EWT/USD,0.977,0.977,0.95,0.951,28,20905.06038828,0.955,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
EWT/USD,0.977,0.977,0.95,0.95,27,20895.2729049,0.955,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
EWT/USD,0.977,0.977,0.95,0.95,26,19782.38244912,0.955,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
EWT/USD,0.977,0.977,0.95,0.95,25,13132.84789703,0.958,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
EWT/USD,0.974,0.98,0.973,0.973,4,1011.15266084,0.978,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
EWT/USD,0.974,0.98,0.974,0.98,3,1000.0,0.978,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
EWT/USD,0.963,0.991,0.963,0.979,42,6024.72978166,0.975,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
EWT/USD,0.963,0.991,0.963,0.971,38,5024.72978166,0.975,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
EWT/USD,0.963,0.991,0.963,0.991,36,5000.0,0.975,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
EWT/USD,0.963,0.978,0.963,0.978,30,4000.0,0.971,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
EWT/USD,0.963,0.978,0.963,0.978,24,3000.0,0.97,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
EWT/USD,0.963,0.976,0.963,0.976,15,2000.0,0.969,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
EWT/USD,0.963,0.976,0.963,0.976,8,1000.0,0.968,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
EWT/USD,0.962,0.976,0.962,0.976,9,1500.0,0.969,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
EWT/USD,0.961,0.976,0.961,0.976,12,1650.0,0.969,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
EWT/USD,0.959,0.959,0.958,0.958,6,1206.89341271,0.958,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
EWT/USD,0.961,0.961,0.959,0.959,4,146.20816613,0.959,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
EWT/USD,0.961,0.961,0.96,0.96,2,256.24438678,0.96,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
EWT/USD,0.964,0.964,0.964,0.964,1,24.96066136,0.964,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
EWT/USD,0.97,0.97,0.97,0.97,1,5.10247422,0.97,2025-02-03T01:39:00.000000000Z,1,2025-02-03T01:40:00.000000Z
EWT/USD,0.973,0.973,0.97,0.97,3,115.34962604,0.972,2025-02-03T01:38:00.000000000Z,1,2025-02-03T01:39:00.000000Z
EWT/USD,0.975,0.976,0.975,0.976,3,358.73085346,0.975,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
EWT/USD,0.983,0.983,0.964,0.977,27,7235.9007402,0.97,2025-02-03T01:27:00.000000000Z,1,2025-02-03T01:28:00.000000Z
EWT/USD,0.987,0.993,0.987,0.993,7,511.36783476,0.991,2025-02-03T01:08:00.000000000Z,1,2025-02-03T01:09:00.000000Z
