symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FARM/EUR,29.81,29.81,29.81,29.81,1,1.58211,29.81,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
FARM/EUR,30.0,30.0,30.0,30.0,6,9.89762203,30.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
FARM/EUR,30.0,30.0,30.0,30.0,5,7.98982733,30.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
FARM/EUR,30.0,30.0,30.0,30.0,4,7.57042733,30.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
FARM/EUR,30.0,30.0,30.0,30.0,3,7.15102733,30.0,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
FARM/EUR,30.0,30.0,30.0,30.0,1,6.40140528,30.0,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
FARM/EUR,30.0,30.0,30.0,30.0,2,0.48828125,30.0,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
FARM/EUR,30.99,30.99,30.0,30.0,3,6.48171553,30.07,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
FARM/EUR,30.99,30.99,30.99,30.99,1,0.61874999,30.99,2025-02-03T01:38:00.000000000Z,1,2025-02-03T01:39:00.000000Z
FARM/EUR,32.05,32.05,32.05,32.05,1,1.01401872,32.05,2025-02-03T00:45:00.000000000Z,1,2025-02-03T00:46:00.000000Z
FARM/EUR,32.27,32.27,32.0,32.0,6,2.64304943,32.0,2025-02-02T23:26:00.000000000Z,1,2025-02-02T23:27:00.000000Z
FARM/EUR,32.29,32.29,32.29,32.29,1,0.67060676,32.29,2025-02-02T23:16:00.000000000Z,1,2025-02-02T23:17:00.000000Z
FARM/EUR,32.27,32.27,32.27,32.27,4,1.14339324,32.27,2025-02-02T23:10:00.000000000Z,1,2025-02-02T23:11:00.000000Z
FARM/EUR,32.5,32.5,32.5,32.5,1,0.38615384,32.5,2025-02-02T22:40:00.000000000Z,1,2025-02-02T22:41:00.000000Z
