symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FARM/USD,39.24,39.24,39.24,39.24,2,1.18275948,39.24,2025-02-01T12:37:00.000000000Z,1,2025-02-01T12:38:00.000000Z
FARM/USD,39.03,39.03,39.03,39.03,1,0.44378,39.03,2025-02-01T14:06:00.000000000Z,1,2025-02-01T14:07:00.000000Z
FARM/USD,39.27,39.27,39.27,39.27,2,4.94461,39.27,2025-02-01T15:33:00.000000000Z,1,2025-02-01T15:34:00.000000Z
FARM/USD,39.0,39.0,39.0,39.0,1,0.12820512,39.0,2025-02-01T16:57:00.000000000Z,1,2025-02-01T16:58:00.000000Z
FARM/USD,38.99,38.99,38.99,38.99,1,0.76942806,38.99,2025-02-01T18:37:00.000000000Z,1,2025-02-01T18:38:00.000000Z
FARM/USD,38.81,38.81,38.81,38.81,1,0.90081925,38.81,2025-02-01T18:43:00.000000000Z,1,2025-02-01T18:44:00.000000Z
FARM/USD,38.81,38.81,38.81,38.81,2,0.18002331,38.81,2025-02-01T18:55:00.000000000Z,1,2025-02-01T18:56:00.000000Z
FARM/USD,38.43,38.43,38.43,38.43,2,0.74346678,38.43,2025-02-01T19:24:00.000000000Z,1,2025-02-01T19:25:00.000000Z
FARM/USD,38.18,38.18,38.18,38.18,1,1.90306187,38.18,2025-02-01T19:42:00.000000000Z,1,2025-02-01T19:43:00.000000Z
FARM/USD,37.74,37.74,37.74,37.74,1,0.19376523,37.74,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
