symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FARTCOIN/USDC,0.6731,0.6731,0.6636,0.6636,5,4327.36246,0.6698,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
FARTCOIN/USDC,0.6741,0.6753,0.6741,0.6753,7,5050.74578,0.6748,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
FARTCOIN/USDC,0.6628,0.6628,0.6628,0.6628,1,13.596,0.6628,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
FARTCOIN/USDC,0.6665,0.6755,0.6657,0.6755,25,21700.34256,0.6696,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
FARTCOIN/USDC,0.6747,0.6783,0.6747,0.678,35,27527.73038,0.6761,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
FARTCOIN/USDC,0.6791,0.6791,0.6791,0.6791,1,745.0,0.6791,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
FARTCOIN/USDC,0.6804,0.6834,0.6804,0.6834,6,4400.17312,0.6809,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
FARTCOIN/USDC,0.6827,0.6902,0.6827,0.6902,9,6052.8849,0.6868,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
FARTCOIN/USDC,0.6864,0.6864,0.6837,0.6837,7,4751.20795,0.6838,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
FARTCOIN/USDC,0.6866,0.6866,0.6866,0.6866,1,326.54799,0.6866,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
