symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FARTCOIN/USD,0.6757,0.6832,0.6696,0.6802,98,69141.78857,0.6756,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
FARTCOIN/USD,0.6815,0.6815,0.6747,0.6748,18,7785.03375,0.6774,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
FARTCOIN/USD,0.6736,0.6736,0.6693,0.6734,9,1947.54617,0.6712,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
FARTCOIN/USD,0.6726,0.6746,0.6684,0.6746,72,49861.27382,0.6722,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
FARTCOIN/USD,0.67,0.6789,0.67,0.6789,4,11519.02489,0.671,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
FARTCOIN/USD,0.6728,0.6831,0.6728,0.6815,23,20964.77321,0.679,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
FARTCOIN/USD,0.6819,0.6924,0.6819,0.6904,42,35905.44288,0.6875,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
FARTCOIN/USD,0.6863,0.6864,0.68,0.6821,15,6041.93627,0.6834,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
FARTCOIN/USD,0.6857,0.6948,0.6857,0.6907,6,984.69889,0.6861,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
FARTCOIN/USD,0.6874,0.6874,0.6795,0.6795,7,12070.93237,0.6831,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
