symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FET/EUR,0.629,0.629,0.6133,0.6185,8,909.24601882,0.6225,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FET/EUR,0.629,0.629,0.6133,0.6185,7,884.99894813,0.6226,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FET/EUR,0.629,0.629,0.6133,0.6133,6,859.09810385,0.6228,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FET/EUR,0.629,0.629,0.6159,0.6185,5,833.11204788,0.6231,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FET/EUR,0.629,0.629,0.6159,0.6159,4,808.58677489,0.6232,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FET/EUR,0.629,0.629,0.6175,0.6175,3,795.58677489,0.6233,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FET/EUR,0.629,0.629,0.6238,0.6238,2,714.42182282,0.624,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FET/EUR,0.629,0.629,0.629,0.629,1,31.3266,0.629,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FET/EUR,0.6411,0.6411,0.63,0.63,6,1372.9677105,0.6333,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FET/EUR,0.6411,0.6411,0.63,0.63,5,1240.00182346,0.6337,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FET/EUR,0.6411,0.6411,0.63,0.63,4,1235.84966865,0.6337,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FET/EUR,0.6411,0.6411,0.63,0.63,3,1215.08889457,0.6337,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FET/EUR,0.6411,0.6411,0.6411,0.6411,1,414.23755177,0.6411,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FET/EUR,0.6479,0.6503,0.642,0.642,9,2862.27591735,0.6486,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FET/EUR,0.6479,0.6503,0.646,0.646,8,2639.28181786,0.6491,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FET/EUR,0.6479,0.6503,0.6466,0.6503,7,2482.55667222,0.6493,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FET/EUR,0.6479,0.6494,0.6466,0.6466,5,901.84455345,0.6478,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FET/EUR,0.6479,0.6494,0.6479,0.6494,4,678.77183531,0.6482,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FET/EUR,0.6479,0.6483,0.6479,0.6479,3,529.10730531,0.6479,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FET/EUR,0.6479,0.6483,0.6479,0.6483,2,327.41245311,0.648,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FET/EUR,0.6479,0.6479,0.6479,0.6479,1,222.3787245,0.6479,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FET/EUR,0.6559,0.6598,0.6559,0.6561,5,936.60301427,0.659,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FET/EUR,0.6559,0.6598,0.6559,0.6566,4,904.74388756,0.6591,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FET/EUR,0.6559,0.6598,0.6559,0.6598,3,872.93970642,0.6592,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FET/EUR,0.6559,0.6598,0.6559,0.6598,2,587.88293802,0.6589,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FET/EUR,0.6559,0.6559,0.6559,0.6559,1,132.93970642,0.6559,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FET/EUR,0.6526,0.6638,0.6526,0.6638,8,952.37838114,0.6604,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FET/EUR,0.6526,0.6638,0.6526,0.6638,7,906.46316656,0.6602,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FET/EUR,0.6526,0.663,0.6526,0.663,6,770.14765921,0.6596,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FET/EUR,0.6526,0.6608,0.6526,0.6607,5,633.55356975,0.6588,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FET/EUR,0.6526,0.6608,0.6526,0.6608,3,184.53876053,0.6543,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FET/EUR,0.6526,0.6585,0.6526,0.6585,2,177.58752063,0.6541,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FET/EUR,0.6526,0.6526,0.6526,0.6526,1,131.84552063,0.6526,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FET/EUR,0.6498,0.6579,0.6498,0.6579,14,5780.69850637,0.6511,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FET/EUR,0.6498,0.6523,0.6498,0.6523,13,5751.35352637,0.6511,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
