symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FIL/EUR,2.957,2.957,2.916,2.925,17,4185.02631597,2.922,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.916,2.925,15,3624.03948181,2.922,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.916,2.925,13,3475.83079188,2.922,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.916,2.925,11,2553.98389046,2.921,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.916,2.916,10,1359.83292085,2.918,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.918,2.918,8,1212.06734074,2.918,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.918,2.918,6,774.12818351,2.918,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.918,2.918,4,626.08557308,2.918,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.919,2.919,3,165.76522998,2.921,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.957,2.957,2.957,2.957,1,9.82877916,2.957,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.949,20,1254.86089038,2.93,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.948,18,1177.50221753,2.928,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.95,17,1170.71702953,2.928,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.95,16,1105.76038529,2.927,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.95,15,1040.80374105,2.926,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.922,14,975.84709699,2.924,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.922,12,316.66893575,2.929,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.923,10,168.34865344,2.935,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.923,9,158.34865344,2.936,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.923,8,148.34865344,2.937,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.95,2.916,2.95,7,138.34865344,2.938,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.919,2.916,2.919,6,51.68577209,2.918,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.919,2.916,2.919,5,41.68577209,2.918,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.919,2.916,2.919,4,31.68577209,2.918,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.919,2.916,2.919,3,21.68577209,2.917,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.917,2.916,2.917,2,11.68577209,2.916,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.916,2.916,2.916,2.916,1,1.68577209,2.916,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FIL/EUR,2.915,2.957,2.915,2.956,7,597.68832968,2.954,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FIL/EUR,2.915,2.957,2.915,2.956,6,532.73168544,2.954,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FIL/EUR,2.915,2.957,2.915,2.957,5,467.83999785,2.953,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FIL/EUR,2.915,2.957,2.915,2.957,4,424.43675132,2.953,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FIL/EUR,2.915,2.957,2.915,2.957,3,207.91460385,2.949,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FIL/EUR,2.915,2.957,2.915,2.957,2,121.39235372,2.944,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FIL/EUR,2.915,2.915,2.915,2.915,1,34.78349474,2.915,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FIL/EUR,2.917,2.943,2.855,2.943,20,2463.30344827,2.906,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.943,2.855,2.943,17,2019.13760368,2.898,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.943,2.855,2.943,16,1871.27587149,2.895,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.943,2.855,2.943,14,1727.79547149,2.891,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.919,2.855,2.863,12,1403.30260816,2.879,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.919,2.855,2.855,11,1393.30260816,2.879,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.917,2.916,2.916,6,393.30260816,2.916,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.917,2.916,2.917,4,224.06597908,2.916,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.917,2.916,2.916,3,154.59551591,2.916,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.917,2.917,2.917,2.917,1,5.96086163,2.917,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FIL/EUR,2.97,2.97,2.914,2.916,4,199.45173019,2.918,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
FIL/EUR,2.97,2.97,2.914,2.916,3,167.7792081,2.919,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
FIL/EUR,2.97,2.97,2.914,2.914,2,162.25279162,2.919,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
FIL/EUR,2.961,2.961,2.907,2.907,2,44.52237521,2.907,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
FIL/EUR,2.961,2.961,2.961,2.961,1,0.665466,2.961,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
FIL/EUR,2.923,2.974,2.906,2.906,9,196.46743216,2.922,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FIL/EUR,2.923,2.974,2.922,2.974,8,195.58985413,2.922,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FIL/EUR,2.923,2.923,2.922,2.922,7,193.93346213,2.922,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FIL/EUR,2.923,2.923,2.922,2.922,6,172.916228,2.922,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FIL/EUR,2.923,2.923,2.922,2.922,5,91.2477805,2.922,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FIL/EUR,2.923,2.923,2.923,2.923,3,26.93082655,2.923,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FIL/EUR,2.923,2.923,2.923,2.923,2,13.74691093,2.923,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FIL/EUR,2.923,2.923,2.923,2.923,1,0.70059652,2.923,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FIL/EUR,2.959,2.992,2.957,2.957,7,154.65715504,2.984,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
FIL/EUR,2.959,2.992,2.959,2.992,6,153.4250334,2.984,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
FIL/EUR,2.959,2.992,2.959,2.992,5,126.74645721,2.982,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
