symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FLOW/EUR,0.409,0.409,0.407,0.407,3,68.7454665,0.407,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FLOW/EUR,0.409,0.409,0.407,0.407,2,49.46574333,0.408,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FLOW/EUR,0.409,0.409,0.409,0.409,1,31.66693181,0.409,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FLOW/EUR,0.415,0.415,0.414,0.414,3,286.04913777,0.414,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FLOW/EUR,0.415,0.415,0.414,0.414,2,190.62277608,0.414,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FLOW/EUR,0.415,0.415,0.415,0.415,1,95.19641439,0.415,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FLOW/EUR,0.422,0.422,0.422,0.422,1,317.18089619,0.422,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FLOW/EUR,0.429,0.429,0.425,0.425,2,456.24137207,0.428,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FLOW/EUR,0.429,0.429,0.429,0.429,1,358.79873058,0.429,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FLOW/EUR,0.426,0.426,0.424,0.424,3,1000.0410054,0.424,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FLOW/EUR,0.426,0.426,0.424,0.424,2,336.40314437,0.425,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FLOW/EUR,0.426,0.426,0.426,0.426,1,325.93802809,0.426,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FLOW/EUR,0.43,0.43,0.43,0.43,1,322.90603297,0.43,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
FLOW/EUR,0.429,0.429,0.429,0.429,1,10.48951049,0.429,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FLOW/EUR,0.424,0.424,0.424,0.424,1,10.46511628,0.424,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
FLOW/EUR,0.428,0.428,0.428,0.428,5,359.42625878,0.428,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
FLOW/EUR,0.428,0.428,0.428,0.428,4,123.58615153,0.428,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
FLOW/EUR,0.428,0.428,0.428,0.428,3,112.54613171,0.428,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
FLOW/EUR,0.428,0.428,0.428,0.428,2,101.50611189,0.428,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
