symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FLR/EUR,0.0175,0.0175,0.01723,0.01723,4,207778.92852287,0.01732,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FLR/EUR,0.0175,0.0175,0.01725,0.01725,3,207197.17002432,0.01732,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FLR/EUR,0.0175,0.0175,0.01733,0.01733,2,181110.21350259,0.01733,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FLR/EUR,0.0175,0.0175,0.0175,0.0175,1,8000.0,0.0175,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FLR/EUR,0.01756,0.01756,0.01756,0.01756,1,22288.00382227,0.01756,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FLR/EUR,0.01794,0.01794,0.01794,0.01794,2,55112.7060114,0.01794,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FLR/EUR,0.01794,0.01794,0.01794,0.01794,1,37305.0498114,0.01794,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FLR/EUR,0.01799,0.01799,0.01782,0.01782,2,38305.1500422,0.01782,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FLR/EUR,0.01799,0.01799,0.01799,0.01799,1,1000.1,0.01799,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FLR/EUR,0.01824,0.01824,0.01824,0.01824,1,12614.101584,0.01824,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
FLR/EUR,0.01801,0.01801,0.01801,0.01801,1,31587.13126277,0.01801,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
FLR/EUR,0.01795,0.01795,0.01795,0.01795,1,31587.13993079,0.01795,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FLR/EUR,0.01841,0.01841,0.01841,0.01841,1,13263.89560189,0.01841,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
FLR/EUR,0.01814,0.01824,0.01809,0.01824,8,67975.21273271,0.01811,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
FLR/EUR,0.01814,0.01814,0.01809,0.01809,7,67813.86008148,0.01811,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
FLR/EUR,0.01814,0.01814,0.01811,0.01811,4,34602.30245943,0.01811,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
FLR/EUR,0.01814,0.01814,0.01811,0.01811,3,31397.17425431,0.01811,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
FLR/EUR,0.01768,0.01781,0.01768,0.01781,5,8669.84957796,0.01769,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
FLR/EUR,0.01768,0.01769,0.01768,0.01768,4,7812.68129796,0.01768,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
FLR/EUR,0.01768,0.01768,0.01768,0.01768,2,2267.90423796,0.01768,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
FLR/EUR,0.01768,0.01768,0.01768,0.01768,1,1133.95211898,0.01768,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
FLR/EUR,0.01832,0.01844,0.01769,0.01769,42,564459.801547,0.01793,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.0177,0.0177,41,556602.356827,0.01794,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.0177,0.0177,40,555253.465267,0.01794,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.0177,0.0177,39,547396.020547,0.01794,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01776,0.01796,38,539538.575827,0.01794,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01776,0.01776,36,533869.52211645,0.01794,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01779,0.01779,33,453697.3026767,0.01798,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01779,0.01779,32,434867.18761994,0.01798,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01779,0.01779,31,434714.1837178,0.01798,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01779,0.01779,30,433697.3026767,0.01798,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.0178,0.0178,28,413697.3026767,0.01799,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.0178,0.0178,27,393697.3026767,0.018,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.0178,0.0178,26,373697.3026767,0.01802,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.0178,0.0178,25,353697.3026767,0.01803,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01781,0.01781,23,344697.3026767,0.01803,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01806,0.01806,11,93697.3026767,0.01826,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01806,0.01806,10,85185.55444843,0.01828,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FLR/EUR,0.01832,0.01844,0.01821,0.01833,9,85035.55444843,0.01828,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
