symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FLR/USD,0.02383,0.02383,0.02383,0.02383,1,965.9969,0.02383,2025-02-01T20:03:00.000000000Z,1,2025-02-01T20:04:00.000000Z
FLR/USD,0.0238,0.0238,0.0238,0.0238,2,3151.2605042,0.0238,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
FLR/USD,0.02378,0.02382,0.02378,0.02382,11,53940.55,0.02379,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
FLR/USD,0.02374,0.02375,0.02374,0.02375,3,15148.0,0.02374,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
FLR/USD,0.02373,0.02374,0.02373,0.02374,3,9069.21514,0.02373,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
FLR/USD,0.02373,0.02376,0.02372,0.02376,3,3227.44000117,0.02372,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
FLR/USD,0.02372,0.02372,0.02372,0.02372,1,463.74367622,0.02372,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
FLR/USD,0.02372,0.02372,0.0237,0.0237,3,12074.99057214,0.0237,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
FLR/USD,0.0237,0.0237,0.0237,0.0237,1,33980.45145021,0.0237,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
FLR/USD,0.02369,0.02369,0.02369,0.02369,1,853.7601,0.02369,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
