symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FTM/EUR,0.349,0.3491,0.3347,0.3347,13,27198.54286328,0.3415,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.349,0.3491,0.335,0.335,12,27060.16525266,0.3415,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.349,0.3491,0.3405,0.3405,10,26879.56823774,0.3415,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.349,0.3491,0.3414,0.3414,8,18433.81590638,0.342,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.349,0.3491,0.3414,0.3414,7,12632.56898666,0.3423,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.349,0.3491,0.3435,0.3435,5,2540.46493215,0.3461,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.349,0.3491,0.3439,0.3439,4,1320.0167418,0.3485,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.349,0.3491,0.349,0.3491,3,1185.36806,0.349,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.349,0.3491,0.349,0.3491,2,1128.90837,0.349,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FTM/EUR,0.3525,0.3525,0.3479,0.3479,15,24827.38129808,0.3499,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.3484,0.3484,14,24238.3614648,0.35,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.35,0.35,13,24166.6048632,0.35,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.35,0.35,12,24085.28837703,0.35,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.35,0.35,9,21955.46760287,0.35,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.35,0.35,8,21931.99655237,0.35,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.35,0.35,7,20646.68698272,0.35,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.35,0.35,6,18844.3485466,0.35,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.3512,0.3512,2,355.31914893,0.3521,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.3525,0.3525,0.3525,0.3525,1,255.31914893,0.3525,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FTM/EUR,0.36,0.36,0.36,0.36,1,102.95015005,0.36,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FTM/EUR,0.3654,0.3673,0.3621,0.3621,4,2874.48165574,0.3656,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FTM/EUR,0.3654,0.3673,0.3654,0.3673,3,2343.28272023,0.3664,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FTM/EUR,0.3654,0.3657,0.3654,0.3657,2,1172.18116837,0.3656,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FTM/EUR,0.3659,0.3659,0.3659,0.3659,1,5334.06012549,0.3659,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
FTM/EUR,0.3727,0.3727,0.3727,0.3727,1,5236.73894811,0.3727,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
FTM/EUR,0.3728,0.3729,0.3728,0.3729,2,533.31266683,0.3728,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
FTM/EUR,0.3733,0.3734,0.3733,0.3734,2,1174.21531869,0.3733,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
FTM/EUR,0.354,0.3676,0.354,0.3675,3,1972.05730969,0.3581,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
FTM/EUR,0.354,0.354,0.354,0.354,1,1363.26080969,0.354,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
FTM/EUR,0.3719,0.3719,0.3564,0.3564,65,56453.26064574,0.3601,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
FTM/EUR,0.3719,0.3719,0.3564,0.3564,64,56353.26064574,0.3601,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
