symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
FXS/USD,1.615,1.615,1.615,1.615,1,129.07593637,1.615,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
FXS/USD,1.653,1.653,1.653,1.653,2,126.10867346,1.653,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FXS/USD,1.653,1.653,1.653,1.653,1,10.0,1.653,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
FXS/USD,1.681,1.681,1.664,1.664,4,63.43606464,1.67,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FXS/USD,1.681,1.681,1.681,1.681,1,5.2,1.681,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
FXS/USD,1.696,1.696,1.687,1.687,2,69.80458854,1.694,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FXS/USD,1.696,1.696,1.696,1.696,1,58.23606464,1.696,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
FXS/USD,1.715,1.721,1.715,1.721,12,3637.10090636,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,11,3625.76090636,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,10,3625.71429887,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,9,3417.72359887,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,8,3237.54419952,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,7,3037.34486691,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,6,2822.23449734,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,5,2232.13452176,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,4,1642.03454618,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,3,1051.9345706,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,2,833.17082663,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.715,1.715,1.715,1.715,1,590.1,1.715,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
FXS/USD,1.701,1.701,1.691,1.691,3,618.87131097,1.691,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
