symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GALA/EUR,0.018,0.018,0.0177,0.0177,7,300000.0,0.0178,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
GALA/EUR,0.018,0.018,0.018,0.018,2,150000.0,0.018,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,29,1597463.37598301,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,28,1575339.52235327,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,27,1560667.36701409,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,26,1559977.30038188,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,25,1559286.12393487,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,24,1555591.10465193,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,23,1530994.77447097,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,22,1483800.38931019,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,21,1459741.34069484,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,20,1386010.34069484,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,19,1318462.39455173,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GALA/EUR,0.0184,0.0184,0.0182,0.0182,17,1259197.77629293,0.0182,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
