symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GAL/EUR,1.5569,1.5569,1.5569,1.5569,1,9.96021099,1.5569,2025-01-30T23:51:00.000000000Z,1,2025-01-30T23:52:00.000000Z
GAL/EUR,1.5583,1.5583,1.5583,1.5583,1,125.50177584,1.5583,2025-01-30T23:53:00.000000000Z,1,2025-01-30T23:54:00.000000Z
GAL/EUR,1.6192,1.62,1.6192,1.62,7,432.79821339,1.6196,2025-01-30T23:57:00.000000000Z,1,2025-01-30T23:58:00.000000Z
GAL/EUR,1.6451,1.6451,1.6451,1.6451,1,4.4911,1.6451,2025-01-31T19:10:00.000000000Z,1,2025-01-31T19:11:00.000000Z
GAL/EUR,1.5113,1.5113,1.4479,1.4479,12,621.59752719,1.497,2025-02-01T08:51:00.000000000Z,1,2025-02-01T08:52:00.000000Z
GAL/EUR,1.5251,1.5251,1.5251,1.5251,1,9.37081221,1.5251,2025-02-01T09:48:00.000000000Z,1,2025-02-01T09:49:00.000000Z
GAL/EUR,1.5467,1.5467,1.5467,1.5467,1,9.6793,1.5467,2025-02-01T11:05:00.000000000Z,1,2025-02-01T11:06:00.000000Z
GAL/EUR,1.6122,1.6123,1.6122,1.6123,2,212.20213989,1.6122,2025-02-01T18:08:00.000000000Z,1,2025-02-01T18:09:00.000000Z
GAL/EUR,1.4865,1.4865,1.4865,1.4865,1,4.61538461,1.4865,2025-02-01T19:07:00.000000000Z,1,2025-02-01T19:08:00.000000Z
GAL/EUR,1.4689,1.4689,1.4688,1.4688,2,263.82995928,1.4688,2025-02-01T20:08:00.000000000Z,1,2025-02-01T20:09:00.000000Z
