symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GAL/USD,1.0891,1.0891,1.0885,1.0885,9,2202.77710169,1.0886,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GAL/USD,1.0891,1.0891,1.0886,1.0886,6,1790.0,1.0886,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GAL/USD,1.0891,1.0891,1.0886,1.0886,5,1297.0,1.0886,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GAL/USD,1.0891,1.0891,1.0886,1.0886,3,804.0,1.0886,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GAL/USD,1.1046,1.1046,1.094,1.094,6,499.1566544,1.0941,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
GAL/USD,1.1046,1.1046,1.094,1.094,5,290.0,1.0942,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
GAL/USD,1.1399,1.1399,1.116,1.116,9,164.0,1.13,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
GAL/USD,1.1399,1.1399,1.116,1.116,8,163.017,1.1301,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
GAL/USD,1.1399,1.1399,1.116,1.116,7,151.241,1.1311,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
GAL/USD,1.1399,1.1399,1.116,1.116,6,139.465,1.1324,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
GAL/USD,1.1705,1.1705,1.1705,1.1705,1,1.62908201,1.1705,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
GAL/USD,1.1705,1.1705,1.1705,1.1705,1,11.0,1.1705,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
GAL/USD,1.1939,1.1939,1.1939,1.1939,2,11.59112236,1.1939,2025-02-03T00:57:00.000000000Z,1,2025-02-03T00:58:00.000000Z
GAL/USD,1.1939,1.1939,1.1939,1.1939,1,0.8252,1.1939,2025-02-03T00:46:00.000000000Z,1,2025-02-03T00:47:00.000000Z
GAL/USD,1.2,1.2,1.1804,1.1804,16,268.508,1.1808,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
GAL/USD,1.2008,1.2008,1.2,1.2,3,9.0,1.2006,2025-02-03T00:37:00.000000000Z,1,2025-02-03T00:38:00.000000Z
GAL/USD,1.2147,1.2147,1.2147,1.2147,4,46.06800032,1.2147,2025-02-03T00:31:00.000000000Z,1,2025-02-03T00:32:00.000000Z
GAL/USD,1.2437,1.2437,1.2173,1.2173,9,97.29797807,1.234,2025-02-03T00:15:00.000000000Z,1,2025-02-03T00:16:00.000000Z
GAL/USD,1.2437,1.2437,1.2437,1.2437,1,11.0,1.2437,2025-02-03T00:10:00.000000000Z,1,2025-02-03T00:11:00.000000Z
