symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GARI/USD,0.0097,0.0097,0.0097,0.0097,1,10156.92448,0.0097,2025-02-01T10:59:00.000000000Z,1,2025-02-01T11:00:00.000000Z
GARI/USD,0.0098,0.0098,0.0096,0.0096,8,14524.51295292,0.0097,2025-02-01T11:10:00.000000000Z,1,2025-02-01T11:11:00.000000Z
GARI/USD,0.0098,0.0098,0.0098,0.0098,1,2739.4728339,0.0098,2025-02-01T12:14:00.000000000Z,1,2025-02-01T12:15:00.000000Z
GARI/USD,0.0096,0.0096,0.0096,0.0096,1,647.48201439,0.0096,2025-02-01T17:19:00.000000000Z,1,2025-02-01T17:20:00.000000Z
GARI/USD,0.0097,0.0097,0.0097,0.0097,2,3082.0,0.0097,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
GARI/USD,0.0097,0.0097,0.0097,0.0097,2,2704.0,0.0097,2025-02-01T20:00:00.000000000Z,1,2025-02-01T20:01:00.000000Z
GARI/USD,0.0097,0.0097,0.0097,0.0097,1,2009.5553349,0.0097,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
GARI/USD,0.0096,0.0096,0.0096,0.0096,3,3238.0,0.0096,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
GARI/USD,0.0096,0.0096,0.0096,0.0096,2,3012.0,0.0096,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
GARI/USD,0.0096,0.0097,0.0096,0.0097,4,3561.3157871,0.0096,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
