symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GFI/USD,1.01,1.01,1.006,1.006,2,226.0198,1.009,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GFI/USD,1.01,1.01,1.01,1.01,1,198.0198,1.01,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GFI/USD,1.013,1.013,1.013,1.013,1,342.59041,1.013,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
GFI/USD,1.012,1.012,1.012,1.012,1,408.07114,1.012,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
GFI/USD,1.015,1.016,1.012,1.012,3,261.0,1.014,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
GFI/USD,1.015,1.016,1.015,1.016,2,175.0,1.015,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
GFI/USD,1.015,1.015,1.015,1.015,1,150.0,1.015,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
GFI/USD,1.015,1.016,1.015,1.016,3,638.11541,1.015,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
GFI/USD,1.015,1.015,1.015,1.015,2,366.83849,1.015,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
GFI/USD,1.015,1.015,1.015,1.015,1,320.40164,1.015,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
GFI/USD,1.013,1.015,1.013,1.015,3,997.7297,1.014,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GFI/USD,1.013,1.015,1.013,1.015,2,655.267,1.014,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GFI/USD,1.013,1.013,1.013,1.013,1,310.34905,1.013,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GFI/USD,1.013,1.014,1.013,1.014,6,2018.39876,1.013,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GFI/USD,1.013,1.014,1.013,1.014,5,1470.37257,1.013,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GFI/USD,1.013,1.013,1.013,1.013,4,959.01039,1.013,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GFI/USD,1.013,1.013,1.013,1.013,2,734.01039,1.013,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GFI/USD,1.013,1.013,1.013,1.013,1,403.4925,1.013,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GFI/USD,1.013,1.014,1.013,1.014,2,183.05431,1.013,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
GFI/USD,1.013,1.013,1.013,1.013,1,95.20882,1.013,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
GFI/USD,1.031,1.031,1.014,1.014,4,883.034,1.021,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
GFI/USD,1.04,1.041,1.016,1.016,5,441.89602,1.032,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
GFI/USD,1.039,1.039,1.039,1.039,1,726.19953,1.039,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
GFI/USD,1.05,1.062,1.043,1.043,7,4044.51578,1.05,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
GFI/USD,1.054,1.054,1.054,1.054,1,150.0,1.054,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
GFI/USD,1.057,1.057,1.055,1.055,2,300.0,1.056,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
GFI/USD,1.059,1.059,1.058,1.059,5,750.0,1.058,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
GFI/USD,1.059,1.059,1.059,1.059,2,300.0,1.059,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
GFI/USD,1.06,1.06,1.06,1.06,1,15.0,1.06,2025-02-03T01:39:00.000000000Z,1,2025-02-03T01:40:00.000000Z
GFI/USD,1.067,1.067,1.067,1.067,2,99.42321,1.067,2025-02-03T01:30:00.000000000Z,1,2025-02-03T01:31:00.000000Z
