symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GHST/EUR,0.7499,0.7499,0.748,0.748,2,14.39136,0.7498,2025-01-31T18:42:00.000000000Z,1,2025-01-31T18:43:00.000000Z
GHST/EUR,0.7311,0.7311,0.7311,0.7311,1,13.67801942,0.7311,2025-02-01T08:46:00.000000000Z,1,2025-02-01T08:47:00.000000Z
GHST/EUR,0.7367,0.7368,0.7367,0.7368,2,79.15923145,0.7367,2025-02-01T09:57:00.000000000Z,1,2025-02-01T09:58:00.000000Z
GHST/EUR,0.7371,0.7392,0.7371,0.7392,3,627.69539591,0.7374,2025-02-01T09:58:00.000000000Z,1,2025-02-01T09:59:00.000000Z
GHST/EUR,0.7079,0.7079,0.6983,0.6983,3,700.38081917,0.7072,2025-02-01T14:30:00.000000000Z,1,2025-02-01T14:31:00.000000Z
GHST/EUR,0.7035,0.7035,0.7035,0.7035,1,6.87310055,0.7035,2025-02-01T14:35:00.000000000Z,1,2025-02-01T14:36:00.000000Z
GHST/EUR,0.6897,0.6897,0.6897,0.6897,1,3.71718107,0.6897,2025-02-01T18:51:00.000000000Z,1,2025-02-01T18:52:00.000000Z
GHST/EUR,0.6862,0.6862,0.6862,0.6862,1,10.60708047,0.6862,2025-02-01T19:01:00.000000000Z,1,2025-02-01T19:02:00.000000Z
GHST/EUR,0.6861,0.6861,0.6861,0.6861,2,15.74,0.6861,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
GHST/EUR,0.6861,0.6861,0.6861,0.6861,1,0.43356164,0.6861,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
