symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GLMR/USD,0.167,0.167,0.167,0.167,1,2487.99166,0.167,2025-02-01T16:18:00.000000000Z,1,2025-02-01T16:19:00.000000Z
GLMR/USD,0.166,0.166,0.166,0.166,1,1183.43195266,0.166,2025-02-01T16:56:00.000000000Z,1,2025-02-01T16:57:00.000000Z
GLMR/USD,0.165,0.165,0.165,0.165,1,231.85809,0.165,2025-02-01T17:10:00.000000000Z,1,2025-02-01T17:11:00.000000Z
GLMR/USD,0.166,0.166,0.166,0.166,1,300.12048193,0.166,2025-02-01T18:45:00.000000000Z,1,2025-02-01T18:46:00.000000Z
GLMR/USD,0.165,0.165,0.165,0.165,1,484.84848485,0.165,2025-02-01T18:49:00.000000000Z,1,2025-02-01T18:50:00.000000Z
GLMR/USD,0.163,0.163,0.163,0.163,1,278.94333,0.163,2025-02-01T19:17:00.000000000Z,1,2025-02-01T19:18:00.000000Z
GLMR/USD,0.162,0.162,0.162,0.162,1,24.69135802,0.162,2025-02-01T19:35:00.000000000Z,1,2025-02-01T19:36:00.000000Z
GLMR/USD,0.161,0.161,0.161,0.161,1,63.27078719,0.161,2025-02-01T19:46:00.000000000Z,1,2025-02-01T19:47:00.000000Z
GLMR/USD,0.161,0.161,0.161,0.161,1,95.23852958,0.161,2025-02-01T20:01:00.000000000Z,1,2025-02-01T20:02:00.000000Z
GLMR/USD,0.16,0.16,0.16,0.16,1,48.08579827,0.16,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
