symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GMT/EUR,0.065,0.065,0.065,0.065,1,2.79017626,0.065,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
GMT/EUR,0.065,0.065,0.065,0.065,1,276.22744837,0.065,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
GMT/EUR,0.065,0.065,0.065,0.065,1,811.92775999,0.065,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
GMT/EUR,0.065,0.065,0.065,0.065,5,7963.19999999,0.065,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
GMT/EUR,0.065,0.065,0.065,0.065,1,176.47,0.065,2025-02-03T01:39:00.000000000Z,1,2025-02-03T01:40:00.000000Z
GMT/EUR,0.073,0.073,0.073,0.073,1,304.47128669,0.073,2025-02-02T23:31:00.000000000Z,1,2025-02-02T23:32:00.000000Z
GMT/EUR,0.071,0.071,0.071,0.071,1,100.0,0.071,2025-02-02T22:56:00.000000000Z,1,2025-02-02T22:57:00.000000Z
GMT/EUR,0.077,0.078,0.077,0.078,2,5363.26749,0.077,2025-02-02T21:14:00.000000000Z,1,2025-02-02T21:15:00.000000Z
GMT/EUR,0.08,0.08,0.08,0.08,4,4848.0739402,0.08,2025-02-02T19:49:00.000000000Z,1,2025-02-02T19:50:00.000000Z
GMT/EUR,0.072,0.072,0.072,0.072,1,67.53064723,0.072,2025-02-02T19:38:00.000000000Z,1,2025-02-02T19:39:00.000000Z
GMT/EUR,0.072,0.072,0.072,0.072,2,160.97434806,0.072,2025-02-02T19:28:00.000000000Z,1,2025-02-02T19:29:00.000000Z
GMT/EUR,0.075,0.075,0.075,0.075,1,300.0,0.075,2025-02-02T18:02:00.000000000Z,1,2025-02-02T18:03:00.000000Z
