symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GMT/USD,0.091,0.091,0.091,0.091,4,2864.6,0.091,2025-02-01T19:35:00.000000000Z,1,2025-02-01T19:36:00.000000Z
GMT/USD,0.091,0.091,0.091,0.091,1,138.43947529,0.091,2025-02-01T19:36:00.000000000Z,1,2025-02-01T19:37:00.000000Z
GMT/USD,0.091,0.091,0.091,0.091,2,2420.10892359,0.091,2025-02-01T19:40:00.000000000Z,1,2025-02-01T19:41:00.000000Z
GMT/USD,0.092,0.092,0.091,0.091,4,861.09173794,0.091,2025-02-01T19:43:00.000000000Z,1,2025-02-01T19:44:00.000000Z
GMT/USD,0.091,0.091,0.091,0.091,1,232.31752904,0.091,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
GMT/USD,0.091,0.091,0.091,0.091,1,35.19,0.091,2025-02-01T20:07:00.000000000Z,1,2025-02-01T20:08:00.000000Z
GMT/USD,0.091,0.091,0.091,0.091,1,658.93826035,0.091,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
GMT/USD,0.091,0.091,0.091,0.091,3,3514.0,0.091,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
GMT/USD,0.091,0.091,0.091,0.091,1,1343.55005,0.091,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
GMT/USD,0.09,0.09,0.09,0.09,2,1091.0,0.09,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
