symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GMX/EUR,15.0,15.0,15.0,15.0,1,2.0,15.0,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
GMX/EUR,15.31,15.31,15.3,15.3,6,115.68928758,15.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GMX/EUR,15.31,15.31,15.3,15.3,5,66.62398803,15.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GMX/EUR,15.31,15.31,15.3,15.3,4,12.12388804,15.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GMX/EUR,15.31,15.31,15.3,15.3,2,5.99967828,15.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
GMX/EUR,16.04,16.04,16.01,16.01,8,508.28196776,16.02,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
GMX/EUR,16.04,16.04,16.02,16.02,6,201.90941876,16.03,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
GMX/EUR,16.04,16.04,16.04,16.04,4,52.40776186,16.04,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
GMX/EUR,16.04,16.04,16.04,16.04,3,43.23211778,16.04,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
GMX/EUR,16.04,16.04,16.04,16.04,2,29.45060835,16.04,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
GMX/EUR,16.04,16.04,16.04,16.04,1,3.5138339,16.04,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
GMX/EUR,16.0,16.0,16.0,16.0,3,13.55,16.0,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
GMX/EUR,16.0,16.0,16.0,16.0,2,12.07448339,16.0,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
GMX/EUR,16.84,16.84,16.84,16.84,2,5.90292621,16.84,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
GMX/EUR,17.83,17.83,17.77,17.77,2,14.89382544,17.78,2025-02-03T01:19:00.000000000Z,1,2025-02-03T01:20:00.000000Z
GMX/EUR,17.85,17.85,17.85,17.85,1,8.62491603,17.85,2025-02-03T00:58:00.000000000Z,1,2025-02-03T00:59:00.000000Z
GMX/EUR,17.39,17.39,17.39,17.39,1,5.0,17.39,2025-02-03T00:19:00.000000000Z,1,2025-02-03T00:20:00.000000Z
GMX/EUR,17.43,17.43,17.43,17.43,2,28.99999998,17.43,2025-02-02T22:56:00.000000000Z,1,2025-02-02T22:57:00.000000Z
GMX/EUR,17.41,17.41,17.41,17.41,1,2.0,17.41,2025-02-02T22:54:00.000000000Z,1,2025-02-02T22:55:00.000000Z
GMX/EUR,16.72,16.72,16.72,16.72,1,1.50383071,16.72,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
GMX/EUR,16.95,16.95,16.95,16.95,3,9.08314358,16.95,2025-02-02T22:40:00.000000000Z,1,2025-02-02T22:41:00.000000Z
GMX/EUR,17.57,17.57,17.57,17.57,1,5.68828213,17.57,2025-02-02T22:38:00.000000000Z,1,2025-02-02T22:39:00.000000Z
GMX/EUR,18.32,18.32,18.32,18.32,1,7.94929,18.32,2025-02-02T21:35:00.000000000Z,1,2025-02-02T21:36:00.000000Z
