symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GNO/EUR,160.0,165.5,160.0,165.5,2,0.06032,163.31,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
GNO/EUR,163.7,163.7,160.0,160.0,3,0.04370431,160.05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
GNO/EUR,163.7,163.7,160.0,160.0,2,0.04283022,160.06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
GNO/EUR,164.02,164.02,163.7,163.7,8,8.65245139,163.72,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GNO/EUR,164.02,164.02,163.7,163.7,7,8.5827251,163.72,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GNO/EUR,164.02,164.02,163.7,163.7,6,5.13162618,163.73,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GNO/EUR,164.02,164.02,163.7,163.7,5,4.15442262,163.74,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GNO/EUR,164.02,164.02,164.02,164.02,2,0.13162618,164.02,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GNO/EUR,164.02,164.02,164.02,164.02,1,0.06581309,164.02,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
GNO/EUR,164.01,164.01,164.01,164.01,1,0.06582096,164.01,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
GNO/EUR,164.01,164.01,164.01,164.01,1,0.06580915,164.01,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
GNO/EUR,164.01,164.01,164.01,164.01,1,0.06583278,164.01,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
GNO/EUR,173.27,173.27,170.5,170.5,4,0.22468537,171.99,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
GNO/EUR,173.27,173.27,173.27,173.27,1,0.054,173.27,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
GNO/EUR,175.38,175.38,175.38,175.38,1,0.06166264,175.38,2025-02-03T00:52:00.000000000Z,1,2025-02-03T00:53:00.000000Z
GNO/EUR,175.39,175.39,175.38,175.38,2,0.60229895,175.38,2025-02-03T00:50:00.000000000Z,1,2025-02-03T00:51:00.000000Z
GNO/EUR,178.2,178.2,175.38,175.38,4,3.84688614,175.52,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
GNO/EUR,178.2,178.2,178.2,178.2,16,7.5328,178.2,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
GNO/EUR,178.2,178.2,178.2,178.2,3,0.2719447,178.2,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
GNO/EUR,181.56,181.56,181.56,181.56,1,0.27132,181.56,2025-02-02T23:30:00.000000000Z,1,2025-02-02T23:31:00.000000Z
GNO/EUR,180.01,180.01,178.21,178.21,2,0.9145242,180.0,2025-02-02T23:24:00.000000000Z,1,2025-02-02T23:25:00.000000Z
GNO/EUR,180.19,180.19,180.19,180.19,1,0.1598916,180.19,2025-02-02T22:42:00.000000000Z,1,2025-02-02T22:43:00.000000Z
