symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GRASS/EUR,1.0,1.0,0.9817,0.9817,3,160.9,0.9988,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
GRASS/EUR,1.0,1.0,1.0,1.0,2,150.9,1.0,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
GRASS/EUR,1.0,1.0,1.0,1.0,1,132.8121,1.0,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
GRASS/EUR,1.1084,1.1084,1.1084,1.1084,1,0.8889,1.1084,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
GRASS/EUR,1.2,1.2,1.1989,1.1989,2,93.33333,1.1998,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
GRASS/EUR,1.251,1.251,1.25,1.25,2,123.90407,1.2509,2025-02-02T18:44:00.000000000Z,1,2025-02-02T18:45:00.000000Z
GRASS/EUR,1.3,1.3,1.3,1.3,1,32.0,1.3,2025-02-02T18:15:00.000000000Z,1,2025-02-02T18:16:00.000000Z
GRASS/EUR,1.5073,1.5073,1.5073,1.5073,1,26.53752,1.5073,2025-02-02T11:03:00.000000000Z,1,2025-02-02T11:04:00.000000Z
GRASS/EUR,1.4832,1.4832,1.4832,1.4832,1,6.74218,1.4832,2025-02-02T09:44:00.000000000Z,1,2025-02-02T09:45:00.000000Z
GRASS/EUR,1.3527,1.3527,1.3527,1.3527,1,9.0,1.3527,2025-02-02T07:18:00.000000000Z,1,2025-02-02T07:19:00.000000Z
GRASS/EUR,1.4806,1.4849,1.4806,1.4849,3,65.1934,1.4817,2025-02-02T05:06:00.000000000Z,1,2025-02-02T05:07:00.000000Z
GRASS/EUR,1.4,1.4,1.4,1.4,1,4.0,1.4,2025-02-01T23:42:00.000000000Z,1,2025-02-01T23:43:00.000000Z
GRASS/EUR,1.4641,1.4641,1.4641,1.4641,1,7.68203,1.4641,2025-02-01T21:11:00.000000000Z,1,2025-02-01T21:12:00.000000Z
GRASS/EUR,1.5029,1.5029,1.5029,1.5029,1,4.12536,1.5029,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
