symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
GRT/USD,0.16945,0.16945,0.16931,0.16931,9,7129.19943387,0.16938,2025-02-01T20:07:00.000000000Z,1,2025-02-01T20:08:00.000000Z
GRT/USD,0.16985,0.16985,0.16985,0.16985,1,18.43455083,0.16985,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
GRT/USD,0.16979,0.16979,0.16979,0.16979,1,176.62103591,0.16979,2025-02-01T20:11:00.000000000Z,1,2025-02-01T20:12:00.000000Z
GRT/USD,0.1694,0.1694,0.1694,0.1694,1,7.92444,0.1694,2025-02-01T20:12:00.000000000Z,1,2025-02-01T20:13:00.000000Z
GRT/USD,0.16928,0.16931,0.169,0.169,3,156.67916,0.16925,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
GRT/USD,0.16954,0.16954,0.16948,0.16948,5,1873.13071,0.16951,2025-02-01T20:15:00.000000000Z,1,2025-02-01T20:16:00.000000Z
GRT/USD,0.16935,0.16935,0.16893,0.16893,4,3669.12838057,0.16934,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
GRT/USD,0.1689,0.1689,0.1689,0.1689,1,1184.2,0.1689,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
GRT/USD,0.16879,0.16879,0.16864,0.16864,7,9668.88615323,0.16864,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
GRT/USD,0.16866,0.16866,0.16855,0.16855,7,3640.36490729,0.16858,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
