symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
HDX/USD,0.0075,0.0075,0.0071,0.0071,5,176097.26338,0.0072,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
HDX/USD,0.0078,0.0078,0.0078,0.0078,1,15796.81492,0.0078,2025-02-03T00:32:00.000000000Z,1,2025-02-03T00:33:00.000000Z
HDX/USD,0.0079,0.0079,0.0079,0.0079,1,465.97353,0.0079,2025-02-03T00:22:00.000000000Z,1,2025-02-03T00:23:00.000000Z
HDX/USD,0.0078,0.0078,0.0078,0.0078,1,46676.262,0.0078,2025-02-02T23:53:00.000000000Z,1,2025-02-02T23:54:00.000000Z
HDX/USD,0.0081,0.0081,0.0081,0.0081,1,130.089,0.0081,2025-02-02T23:30:00.000000000Z,1,2025-02-02T23:31:00.000000Z
HDX/USD,0.0079,0.0079,0.0079,0.0079,1,386.45278,0.0079,2025-02-02T23:23:00.000000000Z,1,2025-02-02T23:24:00.000000Z
HDX/USD,0.0079,0.0079,0.0079,0.0079,1,506.35918,0.0079,2025-02-02T22:32:00.000000000Z,1,2025-02-02T22:33:00.000000Z
HDX/USD,0.0081,0.0081,0.0081,0.0081,1,2964.924,0.0081,2025-02-02T22:12:00.000000000Z,1,2025-02-02T22:13:00.000000Z
HDX/USD,0.0081,0.0081,0.0081,0.0081,1,658.29686,0.0081,2025-02-02T22:02:00.000000000Z,1,2025-02-02T22:03:00.000000Z
HDX/USD,0.0081,0.0081,0.0081,0.0081,1,11822.99089,0.0081,2025-02-02T21:59:00.000000000Z,1,2025-02-02T22:00:00.000000Z
HDX/USD,0.008,0.0081,0.008,0.0081,2,10894.97,0.008,2025-02-02T21:29:00.000000000Z,1,2025-02-02T21:30:00.000000Z
