symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
HFT/EUR,0.0858,0.0858,0.0858,0.0858,1,3193.58911794,0.0858,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
HFT/EUR,0.0892,0.0892,0.088,0.088,5,4765.87458857,0.0884,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
HFT/EUR,0.0892,0.0892,0.0884,0.0885,4,4363.41890687,0.0885,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
HFT/EUR,0.0892,0.0892,0.0884,0.0884,3,3963.23667687,0.0885,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
HFT/EUR,0.0892,0.0892,0.0889,0.0889,2,799.01891699,0.089,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
HFT/EUR,0.0892,0.0892,0.0892,0.0892,1,398.83669,0.0892,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
HFT/EUR,0.0884,0.0898,0.0884,0.0894,6,8893.78875033,0.0891,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
HFT/EUR,0.0884,0.0898,0.0884,0.0898,5,8494.95206141,0.0891,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
HFT/EUR,0.0884,0.0898,0.0884,0.0894,4,8097.89166141,0.0891,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
HFT/EUR,0.0884,0.0898,0.0884,0.0898,3,7700.83125895,0.089,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
HFT/EUR,0.0884,0.089,0.0884,0.089,2,4049.83863914,0.0884,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
HFT/EUR,0.0884,0.0884,0.0884,0.0884,1,3650.99315914,0.0884,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
HFT/EUR,0.0919,0.0919,0.0919,0.0919,1,398.84548367,0.0919,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
HFT/EUR,0.0928,0.0928,0.0917,0.0917,3,4065.34109379,0.0926,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
HFT/EUR,0.0928,0.0928,0.0928,0.0928,2,3665.62557379,0.0928,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
HFT/EUR,0.0928,0.0928,0.0928,0.0928,1,399.71551659,0.0928,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
HFT/EUR,0.0903,0.0916,0.0903,0.0916,3,1219.339787,0.091,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
HFT/EUR,0.0903,0.0913,0.0903,0.0913,2,814.387977,0.0907,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
HFT/EUR,0.0903,0.0903,0.0903,0.0903,1,409.43617,0.0903,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
HFT/EUR,0.0933,0.094,0.0928,0.094,4,1650.06903275,0.0932,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
HFT/EUR,0.0933,0.0933,0.0928,0.0929,3,1240.63286275,0.0929,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
HFT/EUR,0.0933,0.0933,0.0928,0.0928,2,826.34838275,0.093,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
HFT/EUR,0.0933,0.0933,0.0933,0.0933,1,412.0639,0.0933,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
HFT/EUR,0.0936,0.0939,0.0936,0.0939,2,825.44850755,0.0937,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
HFT/EUR,0.0936,0.0936,0.0936,0.0936,1,413.38461,0.0936,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
HFT/EUR,0.0944,0.0949,0.0944,0.0949,2,2473.51171964,0.0944,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HFT/EUR,0.0944,0.0944,0.0944,0.0944,1,2060.12710552,0.0944,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HFT/EUR,0.0956,0.0956,0.0929,0.0933,18,45993.94101563,0.0937,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0929,0.0934,17,43933.80355498,0.0937,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0929,0.0934,16,41020.36261371,0.0937,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0929,0.0933,15,38106.92167244,0.0937,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0929,0.0934,13,34773.00710117,0.0938,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0929,0.0934,12,33501.96863984,0.0938,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0929,0.0929,11,32230.93017851,0.0938,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0934,0.0941,7,16243.57010961,0.0945,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0934,0.0941,6,13330.12916834,0.0945,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0934,0.0939,5,12915.01787834,0.0946,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0934,0.0934,4,10001.57693707,0.0948,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0953,0.0953,3,6758.54891344,0.0954,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0956,0.0956,0.0956,0.0956,1,3168.39767162,0.0956,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HFT/EUR,0.0886,0.0886,0.0886,0.0886,1,446.50215,0.0886,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
HFT/EUR,0.0938,0.0938,0.0913,0.0913,4,1404.19634053,0.0926,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
HFT/EUR,0.0938,0.0938,0.093,0.093,2,889.19634053,0.0933,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
HFT/EUR,0.0938,0.0938,0.0938,0.0938,1,442.69419,0.0938,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
HFT/EUR,0.0991,0.0991,0.0972,0.0972,2,692.69424813,0.0984,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
HFT/EUR,0.0991,0.0991,0.0991,0.0991,1,442.69424813,0.0991,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
HFT/EUR,0.1,0.1009,0.0986,0.1,4,9861.5261309,0.0996,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
