symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
HONEY/EUR,0.04596,0.04641,0.04596,0.04641,3,4271.98407,0.04615,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
HONEY/EUR,0.04626,0.04626,0.04626,0.04626,2,1962.74482,0.04626,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
HONEY/EUR,0.04626,0.04626,0.04626,0.04626,1,966.74163,0.04626,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
HONEY/EUR,0.04567,0.04617,0.04567,0.04617,12,18252.9396,0.046,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.04614,0.04567,0.04602,11,17295.42902,0.04599,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.04614,0.04567,0.046,10,16328.64103,0.04599,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.04614,0.04567,0.04603,9,15335.35714,0.04599,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.04614,0.04567,0.04614,8,14365.20612,0.04599,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.0461,0.04567,0.04591,7,11333.04628,0.04595,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.0461,0.04567,0.0461,6,10373.76102,0.04595,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.04605,0.04567,0.04605,4,6460.87515,0.0459,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.04568,0.04567,0.04568,2,1925.01999,0.04567,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04567,0.04567,0.04567,0.04567,1,951.6258,0.04567,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
HONEY/EUR,0.04552,0.04578,0.04552,0.04561,7,11885.5821,0.04568,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HONEY/EUR,0.04552,0.04578,0.04552,0.04578,6,10906.91354,0.04569,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HONEY/EUR,0.04552,0.04575,0.04552,0.04555,5,7093.88374,0.04564,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HONEY/EUR,0.04552,0.04575,0.04552,0.04565,4,6135.70141,0.04566,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HONEY/EUR,0.04552,0.04575,0.04552,0.04575,3,5172.8804,0.04566,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HONEY/EUR,0.04552,0.04554,0.04552,0.04554,2,1944.35624,0.04553,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HONEY/EUR,0.04552,0.04552,0.04552,0.04552,1,955.76664,0.04552,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
HONEY/EUR,0.04569,0.04575,0.04558,0.04558,3,2194.54309,0.04564,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
HONEY/EUR,0.04569,0.04575,0.04569,0.04575,2,1224.86158,0.0457,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
HONEY/EUR,0.04569,0.04569,0.04569,0.04569,1,974.76158,0.04569,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
HONEY/EUR,0.0465,0.0465,0.0465,0.0465,2,2140.0,0.0465,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
HONEY/EUR,0.0465,0.0465,0.0465,0.0465,1,1004.41068,0.0465,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
HONEY/EUR,0.047,0.047,0.047,0.047,3,2693.79233,0.047,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
HONEY/EUR,0.047,0.047,0.047,0.047,1,1561.52681,0.047,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
HONEY/EUR,0.04725,0.04725,0.04725,0.04725,3,14381.95605,0.04725,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
HONEY/EUR,0.04725,0.04725,0.04725,0.04725,1,200.7,0.04725,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
HONEY/EUR,0.04725,0.04725,0.04725,0.04725,3,7963.34395,0.04725,2025-02-03T01:38:00.000000000Z,1,2025-02-03T01:39:00.000000Z
HONEY/EUR,0.04766,0.04766,0.04766,0.04766,1,203.49139,0.04766,2025-02-03T01:32:00.000000000Z,1,2025-02-03T01:33:00.000000Z
HONEY/EUR,0.04763,0.04763,0.04763,0.04763,1,984.27757,0.04763,2025-02-03T01:29:00.000000000Z,1,2025-02-03T01:30:00.000000Z
HONEY/EUR,0.0476,0.0476,0.0476,0.0476,1,814.85268,0.0476,2025-02-03T01:28:00.000000000Z,1,2025-02-03T01:29:00.000000Z
HONEY/EUR,0.04735,0.04737,0.04735,0.04737,2,1925.94826,0.04736,2025-02-03T01:27:00.000000000Z,1,2025-02-03T01:28:00.000000Z
