symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
JUNO/EUR,0.138,0.14,0.138,0.14,2,979.12953925,0.138,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
JUNO/EUR,0.138,0.138,0.138,0.138,1,627.62953925,0.138,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
JUNO/EUR,0.133,0.134,0.133,0.134,4,1112.919697,0.133,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
JUNO/EUR,0.133,0.134,0.133,0.134,3,1056.219697,0.133,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
JUNO/EUR,0.133,0.134,0.133,0.134,2,1056.09059252,0.133,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
JUNO/EUR,0.133,0.133,0.133,0.133,1,56.219697,0.133,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
JUNO/EUR,0.132,0.133,0.132,0.133,5,3538.074837,0.132,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
JUNO/EUR,0.132,0.133,0.132,0.133,4,2373.4439829,0.132,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
JUNO/EUR,0.132,0.133,0.132,0.133,3,1056.21969696,0.132,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
JUNO/EUR,0.132,0.132,0.132,0.132,1,999.51969696,0.132,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
JUNO/EUR,0.13,0.13,0.129,0.129,2,3087.30339,0.129,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
JUNO/EUR,0.135,0.135,0.135,0.135,2,1073.81187813,0.135,2025-02-03T01:29:00.000000000Z,1,2025-02-03T01:30:00.000000Z
JUNO/EUR,0.133,0.133,0.133,0.133,1,2946.73601749,0.133,2025-02-03T01:28:00.000000000Z,1,2025-02-03T01:29:00.000000Z
JUNO/EUR,0.142,0.142,0.133,0.133,23,13135.43869083,0.136,2025-02-03T01:27:00.000000000Z,1,2025-02-03T01:28:00.000000Z
JUNO/EUR,0.144,0.144,0.144,0.144,1,382.49161668,0.144,2025-02-03T00:53:00.000000000Z,1,2025-02-03T00:54:00.000000Z
JUNO/EUR,0.144,0.144,0.144,0.144,2,691.0,0.144,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
JUNO/EUR,0.149,0.149,0.149,0.149,1,141.91478896,0.149,2025-02-03T00:33:00.000000000Z,1,2025-02-03T00:34:00.000000Z
JUNO/EUR,0.149,0.151,0.149,0.151,2,925.11617517,0.15,2025-02-02T21:59:00.000000000Z,1,2025-02-02T22:00:00.000000Z
JUNO/EUR,0.146,0.146,0.146,0.146,1,244.86849314,0.146,2025-02-02T21:57:00.000000000Z,1,2025-02-02T21:58:00.000000Z
JUNO/EUR,0.145,0.145,0.145,0.145,1,203.83897,0.145,2025-02-02T21:52:00.000000000Z,1,2025-02-02T21:53:00.000000Z
