symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
KAS/EUR,0.08753,0.08994,0.08753,0.08923,3,2813.6443,0.08924,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
KAS/EUR,0.08753,0.08994,0.08753,0.08994,2,56.39226,0.08993,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
KAS/EUR,0.08622,0.08753,0.08622,0.08753,4,1224.11319,0.08744,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
KAS/EUR,0.08622,0.08748,0.08622,0.08748,2,141.368,0.08712,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
KAS/EUR,0.08622,0.08622,0.08622,0.08622,1,40.0,0.08622,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
KAS/EUR,0.08536,0.0854,0.08536,0.0854,2,2726.0661,0.08536,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KAS/EUR,0.0802,0.08126,0.0802,0.08117,18,25222.31596,0.08035,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08126,0.0802,0.08126,17,24620.57641,0.08033,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,16,22028.12133,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,15,20539.22669,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,14,18699.74022,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,13,15938.54117,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,12,12182.39945,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,11,11013.44271,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,10,10421.23282,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,9,9812.52785,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,8,7022.90525,0.08022,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08023,0.0802,0.08023,7,4256.73923,0.08021,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08022,0.0802,0.0802,5,3079.16191,0.08021,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08022,0.0802,0.0802,4,2964.39134,0.08021,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.08022,0.0802,0.08022,3,2850.54222,0.08021,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.0802,0.0802,0.0802,0.0802,1,111.02119,0.0802,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAS/EUR,0.08022,0.08022,0.08022,0.08022,1,306.79257,0.08022,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
KAS/EUR,0.07696,0.07696,0.07507,0.07507,2,12098.41302,0.07569,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
