symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
KILT/USD,0.102,0.102,0.1,0.1,4,1000.24481,0.101,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KILT/USD,0.103,0.103,0.101,0.101,7,4701.86121573,0.101,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KILT/USD,0.105,0.105,0.101,0.101,7,25056.76313908,0.103,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
KILT/USD,0.107,0.107,0.107,0.107,1,788.65854833,0.107,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
KILT/USD,0.105,0.105,0.105,0.105,2,1017.94886246,0.105,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
KILT/USD,0.106,0.107,0.106,0.106,6,11339.68999897,0.106,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
KILT/USD,0.109,0.109,0.107,0.107,12,27392.63729153,0.107,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
KILT/USD,0.109,0.109,0.109,0.109,1,79.22459369,0.109,2025-02-03T01:42:00.000000000Z,1,2025-02-03T01:43:00.000000Z
KILT/USD,0.11,0.11,0.109,0.109,10,15707.57818081,0.109,2025-02-03T01:41:00.000000000Z,1,2025-02-03T01:42:00.000000Z
KILT/USD,0.11,0.11,0.11,0.11,1,334.44816053,0.11,2025-02-03T01:31:00.000000000Z,1,2025-02-03T01:32:00.000000Z
KILT/USD,0.11,0.11,0.11,0.11,1,818.97678,0.11,2025-02-03T00:53:00.000000000Z,1,2025-02-03T00:54:00.000000Z
KILT/USD,0.111,0.111,0.108,0.108,7,4361.18067742,0.109,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
KILT/USD,0.115,0.115,0.115,0.115,1,86.95652173,0.115,2025-02-02T23:54:00.000000000Z,1,2025-02-02T23:55:00.000000Z
