symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
KNC/EUR,0.3523,0.3523,0.3523,0.3523,1,76.84104362,0.3523,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
KNC/EUR,0.3638,0.3638,0.3637,0.3637,2,52.08453046,0.3637,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KNC/EUR,0.3638,0.3638,0.3638,0.3638,1,22.56267179,0.3638,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KNC/EUR,0.3582,0.3624,0.3569,0.3624,3,305.6307299,0.3574,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
KNC/EUR,0.3582,0.3582,0.3569,0.3569,2,283.12300364,0.357,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
KNC/EUR,0.3582,0.3582,0.3582,0.3582,1,29.99727297,0.3582,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
KNC/EUR,0.3659,0.3659,0.3659,0.3659,1,100.37031975,0.3659,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KNC/EUR,0.3641,0.3642,0.3641,0.3642,2,338.37779552,0.3641,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KNC/EUR,0.3531,0.3531,0.353,0.353,2,61.819396,0.353,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KNC/EUR,0.335,0.3817,0.3344,0.3817,3,441.11671162,0.3379,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
KNC/EUR,0.335,0.335,0.3344,0.3344,2,413.00379572,0.3349,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
KNC/EUR,0.335,0.335,0.335,0.335,1,380.56498711,0.335,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
KNC/EUR,0.3522,0.3824,0.3431,0.3431,8,2379.35198703,0.3524,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
KNC/EUR,0.3522,0.3824,0.35,0.35,7,2347.82432868,0.3526,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
KNC/EUR,0.3522,0.3824,0.3521,0.3824,5,2147.82432868,0.3528,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
KNC/EUR,0.3522,0.3824,0.3521,0.3824,4,2119.76104417,0.3524,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
KNC/EUR,0.3522,0.3522,0.3521,0.3521,3,2097.64153581,0.3521,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
KNC/EUR,0.3522,0.3522,0.3521,0.3521,2,2000.0,0.3521,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
KNC/EUR,0.3615,0.3615,0.36,0.36,5,352.72691809,0.3602,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
KNC/EUR,0.3615,0.3615,0.3601,0.3601,3,63.6152053,0.3611,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
KNC/EUR,0.3615,0.3615,0.3615,0.3615,1,34.06120208,0.3615,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
KNC/EUR,0.3828,0.3828,0.3775,0.3775,4,842.31940438,0.3778,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
KNC/EUR,0.38,0.38,0.38,0.38,1,10.0,0.38,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
KNC/EUR,0.3824,0.3824,0.3824,0.3824,1,28.0254777,0.3824,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
KNC/EUR,0.3815,0.3815,0.3814,0.3814,30,11249.90845188,0.3814,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
KNC/EUR,0.3816,0.3816,0.3815,0.3815,2,471.07399983,0.3815,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
KNC/EUR,0.4021,0.4021,0.4021,0.4021,2,122.10933939,0.4021,2025-02-03T00:52:00.000000000Z,1,2025-02-03T00:53:00.000000Z
KNC/EUR,0.3942,0.3942,0.3942,0.3942,1,27.34277902,0.3942,2025-02-03T00:48:00.000000000Z,1,2025-02-03T00:49:00.000000Z
KNC/EUR,0.397,0.397,0.397,0.397,1,27.21425037,0.397,2025-02-03T00:46:00.000000000Z,1,2025-02-03T00:47:00.000000Z
KNC/EUR,0.3951,0.3951,0.3931,0.3931,3,148.48240949,0.3934,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
KNC/EUR,0.3988,0.3988,0.3976,0.3976,3,61.05994971,0.3979,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
